Player,Offense,Defense(*),Total
Tyrese Maxey,0.7 (85),0.3 (60),0.4 (77)
Evan Fournier,1.4 (92),1.0 (42),0.4 (76)
Nic Claxton,-0.7 (63),-1.0 (85),0.3 (76)
Jae Crowder,-0.6 (64),-0.9 (83),0.3 (76)
Terry Rozier,0.9 (87),0.6 (51),0.3 (76)
Thaddeus Young,-0.5 (66),-0.8 (81),0.3 (76)
Bruce Brown,0.3 (80),0.0 (67),0.3 (76)
Onyeka Okongwu,-0.2 (69),-0.5 (76),0.3 (75)
Kristaps Porzi??is,0.7 (85),0.4 (56),0.3 (75)
Cody Martin,0.1 (77),-0.1 (69),0.2 (75)
P.J. Washington,-0.2 (71),-0.4 (76),0.2 (75)
Brandon Clarke,0.0 (74),-0.2 (72),0.2 (75)
Julius Randle,-0.8 (60),-1.0 (85),0.2 (75)
Jaren Jackson Jr.,-0.4 (68),-0.6 (79),0.2 (74)
Anthony Edwards,1.2 (90),1.0 (42),0.2 (74)
Keldon Johnson,0.6 (83),0.4 (57),0.2 (74)
Jose Alvarado,-1.1 (54),-1.3 (88),0.2 (74)
Andre Iguodala,-2.1 (35),-2.2 (96),0.1 (74)
Maxi Kleber,-1.7 (42),-1.8 (93),0.1 (74)
Jonas Valan?i¨±nas,0.7 (85),0.6 (51),0.1 (73)
Buddy Hield,1.4 (91),1.3 (32),0.1 (73)
Blake Griffin,-0.6 (65),-0.6 (80),0.0 (73)
Luguentz Dort,-1.0 (57),-1.0 (84),0.0 (73)
PJ Dozier,-1.4 (49),-1.4 (90),0.0 (73)
Harrison Barnes,0.6 (83),0.6 (51),0.0 (73)
Dwight Powell,0.1 (75),0.1 (64),0.0 (72)
Willie Cauley-Stein,-1.9 (38),-1.9 (94),0.0 (72)
Ivica Zubac,-0.2 (70),-0.2 (71),0.0 (72)
Dean Wade,-1.2 (52),-1.1 (86),-0.1 (72)
Luke Kennard,0.8 (86),0.9 (44),-0.1 (72)
DeMarcus Cousins,0.2 (77),0.3 (59),-0.1 (72)
Andre Drummond,-0.2 (71),-0.1 (69),-0.1 (71)
Nassir Little,-0.2 (70),-0.1 (68),-0.1 (71)
Landry Shamet,-0.4 (67),-0.3 (73),-0.1 (71)
Mont¨¦ Morris,0.7 (85),0.8 (47),-0.1 (71)
Larry Nance Jr.,-1.1 (55),-1.0 (84),-0.1 (71)
Josh Okogie,-1.4 (49),-1.2 (87),-0.2 (71)
Bones Hyland,0.5 (82),0.7 (48),-0.2 (70)
Obi Toppin,0.2 (78),0.4 (57),-0.2 (70)
Payton Pritchard,0.9 (88),1.1 (39),-0.2 (70)
Gary Trent Jr.,1.1 (90),1.4 (30),-0.3 (70)
Aaron Holiday,-0.6 (65),-0.3 (73),-0.3 (70)
Eric Gordon,0.0 (74),0.3 (61),-0.3 (70)
Josh Hart,0.3 (79),0.6 (51),-0.3 (69)
Kelly Olynyk,0.6 (84),0.9 (45),-0.3 (69)
Amir Coffey,-0.2 (70),0.1 (64),-0.3 (69)
