team,year,RAPM
Houston Rockets,2019,1.4170624339674762
Houston Rockets,2020,0.9286849325859873
Houston Rockets,2021,-1.1554015410045184
Houston Rockets,2022,-1.9497687250346123
Houston Rockets,2023,-2.001522607905948
Indiana Pacers,2015,-0.22828688291623023
Indiana Pacers,2016,0.631151984385721
Indiana Pacers,2017,-0.08372931096962043
Indiana Pacers,2018,-0.20709814903997953
Indiana Pacers,2019,0.3130018601554169
Indiana Pacers,2020,0.20658721150208095
Indiana Pacers,2021,0.0545499889550653
Indiana Pacers,2022,-0.7187305983357481
Indiana Pacers,2023,-0.7106414547949808
Los Angeles Clippers,2015,1.549147127913494
Los Angeles Clippers,2016,0.9030586700513321
Los Angeles Clippers,2017,0.6154336539272757
Los Angeles Clippers,2018,0.6155431524347661
Los Angeles Clippers,2019,-0.13851258019083273
Los Angeles Clippers,2020,1.4102101922830095
Los Angeles Clippers,2021,1.4220060514981405
Los Angeles Clippers,2022,0.47493537326163404
Los Angeles Clippers,2023,0.06122405351005055
Los Angeles Lakers,2015,-1.5815674040217893
Los Angeles Lakers,2016,-2.250777918567326
Los Angeles Lakers,2017,-1.6927234897710328
Los Angeles Lakers,2018,-0.7675779389953412
Los Angeles Lakers,2019,-0.36040840894718285
Los Angeles Lakers,2020,1.1031235822779688
Los Angeles Lakers,2021,0.6171937280850296
Los Angeles Lakers,2022,-0.5680808009952433
Los Angeles Lakers,2023,0.33092923815891123
Memphis Grizzlies,2015,0.5664746651391136
Memphis Grizzlies,2016,-0.677561684868445
Memphis Grizzlies,2017,0.0030673021382319147
Memphis Grizzlies,2018,-1.0466408990476468
Memphis Grizzlies,2019,-0.3872243043935723
Memphis Grizzlies,2020,-0.1952771059131914
Memphis Grizzlies,2021,-0.06414031567087912
Memphis Grizzlies,2022,0.9425776106155158
Memphis Grizzlies,2023,0.5868205144997091
Miami Heat,2015,-0.04425404331689707
Miami Heat,2016,0.4666389997185485
Miami Heat,2017,0.2622534519730198
Miami Heat,2018,0.26320038502015536
Miami Heat,2019,0.3579669526691885
Miami Heat,2020,0.03709189993664389
Miami Heat,2021,-0.28188540426300307
Miami Heat,2022,0.4971597507074541
Miami Heat,2023,-0.009553461446175244
Milwaukee Bucks,2015,-0.34863698795387177
Milwaukee Bucks,2016,-0.579199096676461
Milwaukee Bucks,2017,-0.09209658284695617
Milwaukee Bucks,2018,0.7701020106062125
Milwaukee Bucks,2019,1.5209010439174702
Milwaukee Bucks,2020,1.756680399356886
Milwaukee Bucks,2021,1.2053429597430685
Milwaukee Bucks,2022,0.9927095766223666
Milwaukee Bucks,2023,0.8365319916198063
Minnesota Timberwolves,2015,-2.260013950190703
Minnesota Timberwolves,2016,-0.6220432712355626
Minnesota Timberwolves,2017,-0.14596289001151974
Minnesota Timberwolves,2018,-0.17020566556337147
Minnesota Timberwolves,2019,-0.04996968439277655
Minnesota Timberwolves,2020,-1.11917475923396
Minnesota Timberwolves,2021,-0.7982282390117782
Minnesota Timberwolves,2022,0.29432534132132326
Minnesota Timberwolves,2023,0.07494553680360924
New Orleans Pelicans,2015,0.20241192809856678
New Orleans Pelicans,2016,-0.5885896648815416
New Orleans Pelicans,2017,0.3471410929593349
New Orleans Pelicans,2018,0.5151386601609068
New Orleans Pelicans,2019,-0.37214836413367847
New Orleans Pelicans,2020,-0.15703556129279014
New Orleans Pelicans,2021,-0.06427553400321512
New Orleans Pelicans,2022,-0.03024132803321761
New Orleans Pelicans,2023,0.3973802902498889
New York Knicks,2015,-2.3874743246286405
New York Knicks,2016,-0.914508548208379
New York Knicks,2017,-1.1864606936330089
New York Knicks,2018,-1.7869414568213844
New York Knicks,2019,-2.328883891606386
New York Knicks,2020,-1.6245567356604411
New York Knicks,2021,-0.048638395163218835
New York Knicks,2022,0.15777537626335394
New York Knicks,2023,0.924085334099871
Oklahoma City Thunder,2015,0.3230597419462976
Oklahoma City Thunder,2016,1.3419273045454372
Oklahoma City Thunder,2017,0.0023707152252973665
Oklahoma City Thunder,2018,0.8390074771546523
Oklahoma City Thunder,2019,0.6977284159814753
Oklahoma City Thunder,2020,0.21166488913976308
Oklahoma City Thunder,2021,-1.9143918335872347
Oklahoma City Thunder,2022,-1.8713632256504045
Oklahoma City Thunder,2023,-0.19258631499424547
Orlando Magic,2015,-1.026068117403952
Orlando Magic,2016,-0.8019950297368719
Orlando Magic,2017,-1.5272168727172286
Orlando Magic,2018,-1.6776988754371653
Orlando Magic,2019,-0.366969264875024
Orlando Magic,2020,-0.5661343836346872
Orlando Magic,2021,-2.371621863588538
Orlando Magic,2022,-1.5944485192039146
Orlando Magic,2023,-0.43797736253742586
Philadelphia 76ers,2015,-1.9655461823047282
Philadelphia 76ers,2016,-2.061863154312345
Philadelphia 76ers,2017,-1.3570137268492777
Philadelphia 76ers,2018,-0.1931469693388579
Philadelphia 76ers,2019,0.3517367014502572
Philadelphia 76ers,2020,0.32073566590664376
Philadelphia 76ers,2021,0.7045889954868975
Philadelphia 76ers,2022,0.7071440529707985
Philadelphia 76ers,2023,0.7831034364483933
Phoenix Suns,2015,-0.008140004736104172
Phoenix Suns,2016,-1.4095601215798361
Phoenix Suns,2017,-1.2447924984267804
Phoenix Suns,2018,-1.787932185970245
Phoenix Suns,2019,-1.658549824971922
Phoenix Suns,2020,0.10743628022927348
Phoenix Suns,2021,1.3752856100433517
Phoenix Suns,2022,1.0379232930547972
Phoenix Suns,2023,0.13273614096277614
Portland Trail Blazers,2015,0.40840252448334896
Portland Trail Blazers,2016,0.10710311254244402
Portland Trail Blazers,2017,0.05161348335611726
Portland Trail Blazers,2018,0.20716136428348214
Portland Trail Blazers,2019,0.1527299074737614
Portland Trail Blazers,2020,-0.3127991676086436
Portland Trail Blazers,2021,0.6453851646293318
Portland Trail Blazers,2022,-2.180769070433607
Portland Trail Blazers,2023,-1.309729519222763
Sacramento Kings,2015,-0.7781759837754239
Sacramento Kings,2016,-0.46539202221661197
Sacramento Kings,2017,-1.1061976489844376
Sacramento Kings,2018,-1.7831677927129084
Sacramento Kings,2019,-0.35657528953974743
Sacramento Kings,2020,-0.2287516109568657
Sacramento Kings,2021,-0.4858078437156716
Sacramento Kings,2022,-1.181033219496558
Sacramento Kings,2023,0.16625483102544644
San Antonio Spurs,2015,1.4390776326632881
San Antonio Spurs,2016,1.7267186188675276
San Antonio Spurs,2017,1.3486445342085331
San Antonio Spurs,2018,0.1556670496654988
San Antonio Spurs,2019,0.3729335229680162
San Antonio Spurs,2020,-0.08824170913015396
San Antonio Spurs,2021,-0.3349794042871415
San Antonio Spurs,2022,-0.5920564122307551
San Antonio Spurs,2023,-2.0865867479215474
Toronto Raptors,2015,0.6864920742574746
Toronto Raptors,2016,0.6473926693888865
Toronto Raptors,2017,0.6891111129028111
Toronto Raptors,2018,0.20770229977536692
Toronto Raptors,2019,1.8145146058624595
Toronto Raptors,2020,1.2039613748990874
Toronto Raptors,2021,-0.12400085024867122
Toronto Raptors,2022,0.5265167435200317
Toronto Raptors,2023,0.42826547332181647
Utah Jazz,2015,0.2679360753679428
Utah Jazz,2016,0.4421047233051111
Utah Jazz,2017,1.1489550565325304
Utah Jazz,2018,1.8116328324761992
Utah Jazz,2019,1.28449683062281
Utah Jazz,2020,0.6498583298795806
Utah Jazz,2021,1.4003882687775255
Utah Jazz,2022,0.7749916800163096
Utah Jazz,2023,-0.48522609123441823
Washington Wizards,2015,0.3006344790365181
Washington Wizards,2016,0.25916762419488387
Washington Wizards,2017,0.4705768637009394
Washington Wizards,2018,0.28663350304140117
Washington Wizards,2019,-0.7558893014794966
Washington Wizards,2020,-1.0643993920683543
Washington Wizards,2021,-0.27869147998895605
Washington Wizards,2022,-0.8946765240543266
Washington Wizards,2023,-0.5895107420051445
