team,year,RAPM,win_pct
Toronto Raptors,2018,0.20770229977536692,0.7195121951219512
Boston Celtics,2018,-0.39126608633080046,0.6707317073170732
Golden State Warriors,2018,2.141337341838722,0.7073170731707317
Portland Trail Blazers,2018,0.20716136428348214,0.5975609756097561
Philadelphia 76ers,2018,-0.1931469693388579,0.6341463414634146
Cleveland Cavaliers,2018,1.4139150182270381,0.6097560975609756
Oklahoma City Thunder,2018,0.8390074771546523,0.5853658536585366
Indiana Pacers,2018,-0.20709814903997953,0.5853658536585366
Utah Jazz,2018,1.8116328324761992,0.5853658536585366
Miami Heat,2018,0.26320038502015536,0.5365853658536586
New Orleans Pelicans,2018,0.5151386601609068,0.5853658536585366
San Antonio Spurs,2018,0.1556670496654988,0.573170731707317
Milwaukee Bucks,2018,0.7701020106062125,0.5365853658536586
