team,year,TQ,win_pct
Memphis Grizzlies,2023,0.16860217699423163,0.6219512195121951
Indiana Pacers,2023,0.1590508621507971,0.4268292682926829
Los Angeles Lakers,2023,0.09416860672367378,0.524390243902439
Houston Rockets,2023,0.02457166432069835,0.2682926829268293
Brooklyn Nets,2023,-0.34505498677268687,0.5487804878048781
New York Knicks,2023,-0.565717506481842,0.573170731707317
Orlando Magic,2023,-0.8792865980127655,0.4146341463414634
New Orleans Pelicans,2023,-1.1003480734584534,0.5121951219512195
Minnesota Timberwolves,2023,-1.1929626395744095,0.5121951219512195
Charlotte Hornets,2023,-1.2003566208798837,0.3292682926829268
Miami Heat,2023,-1.6976571388009853,0.5365853658536586
Chicago Bulls,2023,-1.69947177460757,0.4878048780487805
Dallas Mavericks,2024,3.904024943876953,0.6097560975609756
Denver Nuggets,2024,3.533892991293021,0.6951219512195121
Indiana Pacers,2024,3.3101084338678812,0.573170731707317
Utah Jazz,2024,2.228981684568565,0.3780487804878049
Milwaukee Bucks,2024,2.091296203470978,0.5975609756097561
Oklahoma City Thunder,2024,2.0485257060641313,0.6951219512195121
Charlotte Hornets,2024,1.8642360388773573,0.2560975609756097
New York Knicks,2024,1.7695558714222193,0.6097560975609756
Phoenix Suns,2024,1.7436660422483694,0.5975609756097561
Atlanta Hawks,2024,1.6003133018270812,0.4390243902439024
Sacramento Kings,2024,1.087993139388351,0.5609756097560976
Los Angeles Clippers,2024,0.8217850683255152,0.6219512195121951
Boston Celtics,2024,0.6476099755266254,0.7804878048780488
Memphis Grizzlies,2024,0.5482443377269648,0.3292682926829268
Philadelphia 76ers,2024,0.10115471614769156,0.573170731707317
Washington Wizards,2024,0.044245778525670576,0.1829268292682926
Los Angeles Lakers,2024,-0.13515192129730647,0.573170731707317
Golden State Warriors,2024,-0.23217484629434537,0.5609756097560976
Minnesota Timberwolves,2024,-0.3720538676222942,0.6829268292682927
Cleveland Cavaliers,2024,-0.5613834398593975,0.5853658536585366
Houston Rockets,2024,-0.7108527486792946,0.5
Portland Trail Blazers,2024,-0.7628160555987888,0.2560975609756097
Miami Heat,2024,-1.1734598131433143,0.5609756097560976
Chicago Bulls,2024,-1.2171405652963885,0.4756097560975609
Detroit Pistons,2024,-1.2224191949961876,0.1707317073170731
New Orleans Pelicans,2024,-1.2330421188102094,0.5975609756097561
Brooklyn Nets,2024,-1.5086418651659699,0.3902439024390244
Toronto Raptors,2024,-1.5612935449643286,0.3048780487804878
Orlando Magic,2024,-1.8635162720741894,0.573170731707317
San Antonio Spurs,2024,-2.5994957047936653,0.2682926829268293
