player,team,year,attendance_rate
JJ Hickson,Denver Nuggets,2015,0.8902439024390244
JJ Redick,Los Angeles Clippers,2015,0.9512195121951219
JR Smith,Cleveland Cavaliers,2015,0.8536585365853658
JaKarr Sampson,Philadelphia 76ers,2015,0.9024390243902439
JaMychal Green,Memphis Grizzlies,2015,0.2926829268292683
JaVale McGee,Denver Nuggets,2015,0.2804878048780488
Jabari Brown,Los Angeles Lakers,2015,0.23170731707317074
Jabari Parker,Milwaukee Bucks,2015,0.3048780487804878
Jack Cooley,Utah Jazz,2015,0.1951219512195122
Jae Crowder,Boston Celtics,2015,1.0
Jamaal Franklin,Denver Nuggets,2015,0.036585365853658534
Jamal Crawford,Los Angeles Clippers,2015,0.7804878048780488
Jameer Nelson,Denver Nuggets,2015,0.7682926829268293
James Ennis III,Miami Heat,2015,0.7560975609756098
James Harden,Houston Rockets,2015,0.9878048780487805
James Johnson,Toronto Raptors,2015,0.8536585365853658
James Jones,Cleveland Cavaliers,2015,0.6951219512195121
James Michael McAdoo,Golden State Warriors,2015,0.18292682926829268
James Young,Boston Celtics,2015,0.3780487804878049
Jannero Pargo,Charlotte Hornets,2015,0.10975609756097561
Jared Cunningham,Los Angeles Clippers,2015,0.23170731707317074
Jared Dudley,Milwaukee Bucks,2015,0.8780487804878049
Jared Sullinger,Boston Celtics,2015,0.7073170731707317
Jarnell Stokes,Memphis Grizzlies,2015,0.23170731707317074
Jarrett Jack,Brooklyn Nets,2015,0.975609756097561
Jason Maxiell,Charlotte Hornets,2015,0.7439024390243902
Jason Richardson,Philadelphia 76ers,2015,0.23170731707317074
Jason Smith,New York Knicks,2015,1.0
Jason Terry,Houston Rockets,2015,0.9390243902439024
Jason Thompson,Sacramento Kings,2015,0.9878048780487805
Jeff Adrien,Houston Rockets,2015,0.2073170731707317
Jeff Ayres,San Antonio Spurs,2015,0.6219512195121951
Jeff Green,Memphis Grizzlies,2015,0.9512195121951219
Jeff Teague,Atlanta Hawks,2015,0.8902439024390244
Jeff Withey,New Orleans Pelicans,2015,0.45121951219512196
Jeffery Taylor,Charlotte Hornets,2015,0.35365853658536583
Jerami Grant,Philadelphia 76ers,2015,0.7926829268292683
Jerel McNeal,Phoenix Suns,2015,0.07317073170731707
Jeremy Evans,Utah Jazz,2015,0.4634146341463415
Jeremy Lamb,Oklahoma City Thunder,2015,0.573170731707317
Jeremy Lin,Los Angeles Lakers,2015,0.9024390243902439
Jerome Jordan,Brooklyn Nets,2015,0.5365853658536586
Jerrelle Benimon,Denver Nuggets,2015,0.024390243902439025
Jerryd Bayless,Milwaukee Bucks,2015,0.9390243902439024
Jimmer Fredette,New Orleans Pelicans,2015,0.6097560975609756
Jimmy Butler III,Chicago Bulls,2015,0.7926829268292683
Joakim Noah,Chicago Bulls,2015,0.8170731707317073
Jodie Meeks,Detroit Pistons,2015,0.7317073170731707
Joe Harris,Cleveland Cavaliers,2015,0.6219512195121951
Joe Ingles,Utah Jazz,2015,0.9634146341463414
Joe Johnson,Brooklyn Nets,2015,0.975609756097561
Joel Anthony,Detroit Pistons,2015,0.5975609756097561
Joel Freeland,Portland Trail Blazers,2015,0.5853658536585366
Joey Dorsey,Houston Rockets,2015,0.8414634146341463
Joffrey Lauvergne,Denver Nuggets,2015,0.2926829268292683
John Henson,Milwaukee Bucks,2015,0.8170731707317073
John Jenkins,Atlanta Hawks,2015,0.2926829268292683
John Lucas III,Detroit Pistons,2015,0.25609756097560976
John Salmons,New Orleans Pelicans,2015,0.25609756097560976
John Wall,Washington Wizards,2015,0.9634146341463414
Johnny O'Bryant III,Milwaukee Bucks,2015,0.4146341463414634
Jon Leuer,Memphis Grizzlies,2015,0.7682926829268293
Jonas Jerebko,Boston Celtics,2015,0.9146341463414634
Jonas Valanciūnas,Toronto Raptors,2015,0.975609756097561
Jordan Adams,Memphis Grizzlies,2015,0.36585365853658536
Jordan Clarkson,Los Angeles Lakers,2015,0.7195121951219512
Jordan Farmar,Los Angeles Clippers,2015,0.43902439024390244
Jordan Hamilton,Los Angeles Clippers,2015,0.17073170731707318
Jordan Hill,Los Angeles Lakers,2015,0.8536585365853658
Jorge Gutierrez,Milwaukee Bucks,2015,0.24390243902439024
Jose Calderon,New York Knicks,2015,0.5121951219512195
Josh McRoberts,Miami Heat,2015,0.2073170731707317
Josh Smith,Houston Rockets,2015,1.0121951219512195
Jrue Holiday,New Orleans Pelicans,2015,0.4878048780487805
Julius Randle,Los Angeles Lakers,2015,0.012195121951219513
Justin Hamilton,Minnesota Timberwolves,2015,0.5
Justin Holiday,Golden State Warriors,2015,0.7195121951219512
Jusuf Nurkic,Denver Nuggets,2015,0.7560975609756098
KJ McDaniels,Houston Rockets,2015,0.7560975609756098
Kalin Lucas,Memphis Grizzlies,2015,0.012195121951219513
Kawhi Leonard,San Antonio Spurs,2015,0.7804878048780488
Kelly Olynyk,Boston Celtics,2015,0.7804878048780488
Kemba Walker,Charlotte Hornets,2015,0.7560975609756098
Kendall Marshall,Milwaukee Bucks,2015,0.34146341463414637
Kendrick Perkins,Cleveland Cavaliers,2015,0.8292682926829268
Kenneth Faried,Denver Nuggets,2015,0.9146341463414634
Kent Bazemore,Atlanta Hawks,2015,0.9146341463414634
Kentavious Caldwell-Pope,Detroit Pistons,2015,1.0
Kenyon Martin,Milwaukee Bucks,2015,0.13414634146341464
Kevin Durant,Oklahoma City Thunder,2015,0.32926829268292684
Kevin Garnett,Minnesota Timberwolves,2015,0.573170731707317
Kevin Love,Cleveland Cavaliers,2015,0.9146341463414634
Kevin Martin,Minnesota Timberwolves,2015,0.47560975609756095
