player,team,year,attendance_rate
D.J. Wilson,Milwaukee Bucks,2018,0.2682926829268293
Dakari Johnson,Oklahoma City Thunder,2018,0.3780487804878049
Damian Jones,Golden State Warriors,2018,0.18292682926829268
Damian Lillard,Portland Trail Blazers,2018,0.8902439024390244
Damien Wilkins,Indiana Pacers,2018,0.23170731707317074
Damion Lee,Atlanta Hawks,2018,0.18292682926829268
Damyean Dotson,New York Knicks,2018,0.5365853658536586
Daniel Hamilton,Oklahoma City Thunder,2018,0.07317073170731707
Daniel Theis,Boston Celtics,2018,0.7682926829268293
Danilo Gallinari,Los Angeles Clippers,2018,0.25609756097560976
Danny Green,San Antonio Spurs,2018,0.8536585365853658
Dante Cunningham,Brooklyn Nets,2018,0.8902439024390244
Danté Exum,Utah Jazz,2018,0.17073170731707318
Danuel House Jr.,Phoenix Suns,2018,0.2804878048780488
Dario Šaric,Philadelphia 76ers,2018,0.9512195121951219
Darius Miller,New Orleans Pelicans,2018,1.0
Darrell Arthur,Denver Nuggets,2018,0.23170731707317074
Darren Collison,Indiana Pacers,2018,0.8414634146341463
Darrun Hilliard,San Antonio Spurs,2018,0.17073170731707318
David Nwaba,Chicago Bulls,2018,0.8536585365853658
David Stockton,Utah Jazz,2018,0.036585365853658534
David West,Golden State Warriors,2018,0.8902439024390244
Davis Bertans,San Antonio Spurs,2018,0.9390243902439024
Davon Reed,Phoenix Suns,2018,0.25609756097560976
De'Aaron Fox,Sacramento Kings,2018,0.8902439024390244
DeAndre Jordan,Los Angeles Clippers,2018,0.9390243902439024
DeAndre Liggins,New Orleans Pelicans,2018,0.7073170731707317
DeAndre' Bembry,Atlanta Hawks,2018,0.3170731707317073
DeMar DeRozan,Toronto Raptors,2018,0.975609756097561
DeMarcus Cousins,New Orleans Pelicans,2018,0.5853658536585366
DeMarre Carroll,Brooklyn Nets,2018,0.8902439024390244
Dejounte Murray,San Antonio Spurs,2018,0.9878048780487805
Delon Wright,Toronto Raptors,2018,0.8414634146341463
Demetrius Jackson,Philadelphia 76ers,2018,0.18292682926829268
Dennis Schröder,Atlanta Hawks,2018,0.8170731707317073
Dennis Smith Jr.,Dallas Mavericks,2018,0.8414634146341463
Denzel Valentine,Chicago Bulls,2018,0.9390243902439024
Derrick Favors,Utah Jazz,2018,0.9390243902439024
Derrick Jones Jr.,Miami Heat,2018,0.24390243902439024
Derrick Rose,Minnesota Timberwolves,2018,0.3048780487804878
Derrick Walton Jr.,Miami Heat,2018,0.1951219512195122
Derrick White,San Antonio Spurs,2018,0.2073170731707317
Derrick Williams,Los Angeles Lakers,2018,0.024390243902439025
Devin Booker,Phoenix Suns,2018,0.6585365853658537
Devin Harris,Denver Nuggets,2018,0.8658536585365854
Devin Robinson,Washington Wizards,2018,0.012195121951219513
Dewayne Dedmon,Atlanta Hawks,2018,0.7560975609756098
Deyonta Davis,Memphis Grizzlies,2018,0.7560975609756098
Dillon Brooks,Memphis Grizzlies,2018,1.0
Dion Waiters,Miami Heat,2018,0.36585365853658536
Dirk Nowitzki,Dallas Mavericks,2018,0.9390243902439024
Domantas Sabonis,Indiana Pacers,2018,0.9024390243902439
Donovan Mitchell,Utah Jazz,2018,0.9634146341463414
Dorian Finney-Smith,Dallas Mavericks,2018,0.25609756097560976
Doug McDermott,Dallas Mavericks,2018,0.9878048780487805
Dragan Bender,Phoenix Suns,2018,1.0
Draymond Green,Golden State Warriors,2018,0.8536585365853658
Dwayne Bacon,Charlotte Hornets,2018,0.6463414634146342
Dwight Buycks,Detroit Pistons,2018,0.35365853658536583
Dwight Howard,Charlotte Hornets,2018,0.9878048780487805
Dwight Powell,Dallas Mavericks,2018,0.9634146341463414
Dwyane Wade,Miami Heat,2018,0.8170731707317073
E'Twaun Moore,New Orleans Pelicans,2018,1.0
Ed Davis,Portland Trail Blazers,2018,0.9512195121951219
Edmond Sumner,Indiana Pacers,2018,0.012195121951219513
Ekpe Udoh,Utah Jazz,2018,0.7682926829268293
Elfrid Payton,Phoenix Suns,2018,0.7682926829268293
Emeka Okafor,New Orleans Pelicans,2018,0.3170731707317073
Emmanuel Mudiay,New York Knicks,2018,0.7804878048780488
Enes Freedom,New York Knicks,2018,0.8658536585365854
Eric Bledsoe,Milwaukee Bucks,2018,0.9024390243902439
Eric Gordon,Houston Rockets,2018,0.8414634146341463
Eric Moreland,Detroit Pistons,2018,0.8170731707317073
Erik McCree,Utah Jazz,2018,0.04878048780487805
Ersan Ilyasova,Philadelphia 76ers,2018,0.8414634146341463
Evan Fournier,Orlando Magic,2018,0.6951219512195121
Evan Turner,Portland Trail Blazers,2018,0.9634146341463414
Frank Kaminsky,Charlotte Hornets,2018,0.9634146341463414
Frank Mason III,Sacramento Kings,2018,0.6341463414634146
Frank Ntilikina,New York Knicks,2018,0.9512195121951219
Fred VanVleet,Toronto Raptors,2018,0.926829268292683
Furkan Korkmaz,Philadelphia 76ers,2018,0.17073170731707318
Garrett Temple,Sacramento Kings,2018,0.7926829268292683
Gary Harris,Denver Nuggets,2018,0.8170731707317073
Gary Payton II,Los Angeles Lakers,2018,0.2804878048780488
George Hill,Cleveland Cavaliers,2018,0.8170731707317073
Georges Niang,Utah Jazz,2018,0.10975609756097561
Georgios Papagiannis,Portland Trail Blazers,2018,0.2073170731707317
Gerald Green,Houston Rockets,2018,0.5
Gian Clavell,Dallas Mavericks,2018,0.08536585365853659
Giannis Antetokounmpo,Milwaukee Bucks,2018,0.9146341463414634
Glenn Robinson III,Indiana Pacers,2018,0.2804878048780488
Goran Dragic,Miami Heat,2018,0.9146341463414634
Gordon Hayward,Boston Celtics,2018,0.012195121951219513
Gorgui Dieng,Minnesota Timberwolves,2018,0.9634146341463414
Greg Monroe,Boston Celtics,2018,0.6219512195121951
Guerschon Yabusele,Boston Celtics,2018,0.4024390243902439
Harrison Barnes,Dallas Mavericks,2018,0.9390243902439024
Hassan Whiteside,Miami Heat,2018,0.6585365853658537
Henry Ellenson,Detroit Pistons,2018,0.4634146341463415
Ian Clark,New Orleans Pelicans,2018,0.9024390243902439
Ian Mahinmi,Washington Wizards,2018,0.9390243902439024
Ike Anigbogu,Indiana Pacers,2018,0.13414634146341464
Iman Shumpert,Sacramento Kings,2018,0.17073170731707318
Isaiah Canaan,Phoenix Suns,2018,0.24390243902439024
Isaiah Hicks,New York Knicks,2018,0.21951219512195122
Isaiah Taylor,Atlanta Hawks,2018,0.8170731707317073
Isaiah Thomas,Los Angeles Lakers,2018,0.3902439024390244
Isaiah Whitehead,Brooklyn Nets,2018,0.1951219512195122
Ish Smith,Detroit Pistons,2018,1.0
Ivan Rabb,Memphis Grizzlies,2018,0.43902439024390244
Ivica Zubac,Los Angeles Lakers,2018,0.524390243902439
J.J. Barea,Dallas Mavericks,2018,0.8414634146341463
JJ Redick,Philadelphia 76ers,2018,0.8536585365853658
JR Smith,Cleveland Cavaliers,2018,0.975609756097561
JaKarr Sampson,Sacramento Kings,2018,0.2682926829268293
JaMychal Green,Memphis Grizzlies,2018,0.6707317073170732
JaVale McGee,Golden State Warriors,2018,0.7926829268292683
Jabari Bird,Boston Celtics,2018,0.15853658536585366
Jabari Parker,Milwaukee Bucks,2018,0.3780487804878049
Jack Cooley,Sacramento Kings,2018,0.08536585365853659
Jacob Pullen,Philadelphia 76ers,2018,0.036585365853658534
Jacob Wiley,Brooklyn Nets,2018,0.06097560975609756
Jae Crowder,Utah Jazz,2018,0.975609756097561
Jahlil Okafor,Brooklyn Nets,2018,0.34146341463414637
Jake Layman,Portland Trail Blazers,2018,0.4268292682926829
Jakob Poeltl,Toronto Raptors,2018,1.0
Jalen Jones,Dallas Mavericks,2018,0.1951219512195122
Jamal Crawford,Minnesota Timberwolves,2018,0.975609756097561
Jamal Murray,Denver Nuggets,2018,0.9878048780487805
Jameel Warney,Dallas Mavericks,2018,0.036585365853658534
Jameer Nelson,Detroit Pistons,2018,0.6097560975609756
Jamel Artis,Orlando Magic,2018,0.18292682926829268
James Ennis III,Detroit Pistons,2018,0.8780487804878049
James Harden,Houston Rockets,2018,0.8780487804878049
James Johnson,Miami Heat,2018,0.8902439024390244
James Michael McAdoo,Philadelphia 76ers,2018,0.036585365853658534
James Webb III,Brooklyn Nets,2018,0.12195121951219512
James Young,Philadelphia 76ers,2018,0.07317073170731707
Jamil Wilson,Los Angeles Clippers,2018,0.18292682926829268
Jared Dudley,Phoenix Suns,2018,0.5853658536585366
Jarell Eddie,Chicago Bulls,2018,0.036585365853658534
Jarell Martin,Memphis Grizzlies,2018,0.8902439024390244
Jarrett Allen,Brooklyn Nets,2018,0.8780487804878049
Jarrett Jack,New York Knicks,2018,0.7560975609756098
Jason Smith,Washington Wizards,2018,0.4024390243902439
Jason Terry,Milwaukee Bucks,2018,0.6219512195121951
Jawun Evans,Los Angeles Clippers,2018,0.5853658536585366
Jaylen Brown,Boston Celtics,2018,0.8536585365853658
Jaylen Morris,Atlanta Hawks,2018,0.07317073170731707
Jayson Tatum,Boston Celtics,2018,0.975609756097561
Jeff Green,Cleveland Cavaliers,2018,0.9512195121951219
Jeff Teague,Minnesota Timberwolves,2018,0.8536585365853658
Jeff Withey,Dallas Mavericks,2018,0.12195121951219512
Jerami Grant,Oklahoma City Thunder,2018,0.9878048780487805
Jeremy Evans,Atlanta Hawks,2018,0.012195121951219513
Jeremy Lamb,Charlotte Hornets,2018,0.975609756097561
Jeremy Lin,Brooklyn Nets,2018,0.012195121951219513
Jerian Grant,Chicago Bulls,2018,0.9024390243902439
Jerryd Bayless,Philadelphia 76ers,2018,0.47560975609756095
Jimmy Butler III,Minnesota Timberwolves,2018,0.7195121951219512
Joakim Noah,New York Knicks,2018,0.08536585365853659
Jodie Meeks,Washington Wizards,2018,0.9390243902439024
Joe Harris,Brooklyn Nets,2018,0.9512195121951219
Joe Ingles,Utah Jazz,2018,1.0
Joe Johnson,Houston Rockets,2018,0.6707317073170732
Joe Young,Indiana Pacers,2018,0.6463414634146342
Joel Bolomboy,Milwaukee Bucks,2018,0.07317073170731707
Joel Embiid,Philadelphia 76ers,2018,0.7682926829268293
Joffrey Lauvergne,San Antonio Spurs,2018,0.6707317073170732
John Collins,Atlanta Hawks,2018,0.9024390243902439
John Henson,Milwaukee Bucks,2018,0.926829268292683
John Holland,Cleveland Cavaliers,2018,0.2926829268292683
John Wall,Washington Wizards,2018,0.5
Johnathan Motley,Dallas Mavericks,2018,0.13414634146341464
Johnny O'Bryant III,Charlotte Hornets,2018,0.43902439024390244
Jon Leuer,Detroit Pistons,2018,0.0975609756097561
Jonas Jerebko,Utah Jazz,2018,0.9024390243902439
Jonas Valanciūnas,Toronto Raptors,2018,0.9390243902439024
Jonathan Gibson,Boston Celtics,2018,0.04878048780487805
Jonathan Isaac,Orlando Magic,2018,0.32926829268292684
Jonathon Simmons,Orlando Magic,2018,0.8414634146341463
Jordan Bell,Golden State Warriors,2018,0.6951219512195121
Jordan Clarkson,Cleveland Cavaliers,2018,0.9878048780487805
Jordan Crawford,New Orleans Pelicans,2018,0.06097560975609756
Jordan Mickey,Miami Heat,2018,0.2804878048780488
Jose Calderon,Cleveland Cavaliers,2018,0.6951219512195121
Josh Gray,Phoenix Suns,2018,0.06097560975609756
Josh Hart,Los Angeles Lakers,2018,0.7682926829268293
Josh Huestis,Oklahoma City Thunder,2018,0.8414634146341463
Josh Jackson,Phoenix Suns,2018,0.9390243902439024
Josh Magette,Atlanta Hawks,2018,0.21951219512195122
Josh McRoberts,Dallas Mavericks,2018,0.024390243902439025
Josh Richardson,Miami Heat,2018,0.9878048780487805
Josh Smith,New Orleans Pelicans,2018,0.036585365853658534
Jrue Holiday,New Orleans Pelicans,2018,0.9878048780487805
Juancho Hernangomez,Denver Nuggets,2018,0.3048780487804878
Julius Randle,Los Angeles Lakers,2018,1.0
Julyan Stone,Charlotte Hornets,2018,0.2804878048780488
Justin Anderson,Philadelphia 76ers,2018,0.4634146341463415
Justin Holiday,Chicago Bulls,2018,0.8780487804878049
Justin Jackson,Sacramento Kings,2018,0.8292682926829268
Justin Patton,Minnesota Timberwolves,2018,0.012195121951219513
Justise Winslow,Miami Heat,2018,0.8292682926829268
Jusuf Nurkic,Portland Trail Blazers,2018,0.9634146341463414
Kadeem Allen,Boston Celtics,2018,0.21951219512195122
Karl-Anthony Towns,Minnesota Timberwolves,2018,1.0
Kawhi Leonard,San Antonio Spurs,2018,0.10975609756097561
Kay Felder,Detroit Pistons,2018,0.1951219512195122
Kelly Olynyk,Miami Heat,2018,0.926829268292683
Kelly Oubre Jr.,Washington Wizards,2018,0.9878048780487805
Kemba Walker,Charlotte Hornets,2018,0.975609756097561
Kendrick Perkins,Cleveland Cavaliers,2018,0.012195121951219513
Kenneth Faried,Denver Nuggets,2018,0.3902439024390244
Kent Bazemore,Atlanta Hawks,2018,0.7926829268292683
Kentavious Caldwell-Pope,Los Angeles Lakers,2018,0.9024390243902439
Kevin Durant,Golden State Warriors,2018,0.8292682926829268
Kevin Love,Cleveland Cavaliers,2018,0.7195121951219512
Kevon Looney,Golden State Warriors,2018,0.8048780487804879
Khem Birch,Orlando Magic,2018,0.5121951219512195
Khris Middleton,Milwaukee Bucks,2018,1.0
Klay Thompson,Golden State Warriors,2018,0.8902439024390244
Kobi Simmons,Memphis Grizzlies,2018,0.3902439024390244
Kosta Koufos,Sacramento Kings,2018,0.8658536585365854
Kris Dunn,Chicago Bulls,2018,0.6341463414634146
Kristaps Porziņģis,New York Knicks,2018,0.5853658536585366
Kyle Anderson,San Antonio Spurs,2018,0.9024390243902439
Kyle Collinsworth,Dallas Mavericks,2018,0.3902439024390244
Kyle Korver,Cleveland Cavaliers,2018,0.8902439024390244
Kyle Kuzma,Los Angeles Lakers,2018,0.9390243902439024
Kyle Lowry,Toronto Raptors,2018,0.9512195121951219
Kyle O'Quinn,New York Knicks,2018,0.9390243902439024
Kyle Singler,Oklahoma City Thunder,2018,0.14634146341463414
Kyrie Irving,Boston Celtics,2018,0.7317073170731707
LaMarcus Aldridge,San Antonio Spurs,2018,0.9146341463414634
Lance Stephenson,Indiana Pacers,2018,1.0
Lance Thomas,New York Knicks,2018,0.8902439024390244
Langston Galloway,Detroit Pistons,2018,0.7073170731707317
Larry Drew II,New Orleans Pelicans,2018,0.12195121951219512
Larry Nance Jr.,Cleveland Cavaliers,2018,0.8048780487804879
Lauri Markkanen,Chicago Bulls,2018,0.8292682926829268
LeBron James,Cleveland Cavaliers,2018,1.0
London Perrantes,Cleveland Cavaliers,2018,0.17073170731707318
Lonzo Ball,Los Angeles Lakers,2018,0.6341463414634146
Lorenzo Brown,Toronto Raptors,2018,0.17073170731707318
Lou Williams,Los Angeles Clippers,2018,0.9634146341463414
Luc Mbah a Moute,Houston Rockets,2018,0.7439024390243902
Lucas Nogueira,Toronto Raptors,2018,0.5975609756097561
Luis Montero,Detroit Pistons,2018,0.024390243902439025
Luke Babbitt,Miami Heat,2018,0.6097560975609756
Luke Kennard,Detroit Pistons,2018,0.8902439024390244
Luke Kornet,New York Knicks,2018,0.24390243902439024
Luol Deng,Los Angeles Lakers,2018,0.012195121951219513
Malachi Richardson,Toronto Raptors,2018,0.3170731707317073
Malcolm Brogdon,Milwaukee Bucks,2018,0.5853658536585366
Malcolm Delaney,Atlanta Hawks,2018,0.6585365853658537
Malcolm Miller,Toronto Raptors,2018,0.18292682926829268
Malik Beasley,Denver Nuggets,2018,0.7560975609756098
Malik Monk,Charlotte Hornets,2018,0.7682926829268293
Mangok Mathiang,Charlotte Hornets,2018,0.04878048780487805
Manu Ginobili,San Antonio Spurs,2018,0.7926829268292683
MarShon Brooks,Memphis Grizzlies,2018,0.08536585365853659
Marc Gasol,Memphis Grizzlies,2018,0.8902439024390244
Marcin Gortat,Washington Wizards,2018,1.0
Marco Belinelli,Philadelphia 76ers,2018,0.975609756097561
Marcus Georges-Hunt,Minnesota Timberwolves,2018,0.5121951219512195
Marcus Morris Sr.,Boston Celtics,2018,0.6585365853658537
Marcus Paige,Charlotte Hornets,2018,0.06097560975609756
Marcus Smart,Boston Celtics,2018,0.6585365853658537
Mario Chalmers,Memphis Grizzlies,2018,0.8048780487804879
Mario Hezonja,Orlando Magic,2018,0.9146341463414634
Markel Brown,Houston Rockets,2018,0.04878048780487805
Markelle Fultz,Philadelphia 76ers,2018,0.17073170731707318
Markieff Morris,Washington Wizards,2018,0.8902439024390244
Marquese Chriss,Phoenix Suns,2018,0.8780487804878049
Marquis Teague,Memphis Grizzlies,2018,0.036585365853658534
Marreese Speights,Orlando Magic,2018,0.6341463414634146
Marshall Plumlee,Milwaukee Bucks,2018,0.0975609756097561
Marvin Williams,Charlotte Hornets,2018,0.9512195121951219
Mason Plumlee,Denver Nuggets,2018,0.9024390243902439
Matt Costello,San Antonio Spurs,2018,0.04878048780487805
Matt Williams Jr.,Miami Heat,2018,0.036585365853658534
Matthew Dellavedova,Milwaukee Bucks,2018,0.4634146341463415
Maurice Harkless,Portland Trail Blazers,2018,0.7195121951219512
Maxi Kleber,Dallas Mavericks,2018,0.8780487804878049
Meyers Leonard,Portland Trail Blazers,2018,0.4024390243902439
Michael Beasley,New York Knicks,2018,0.9024390243902439
Michael Carter-Williams,Charlotte Hornets,2018,0.6341463414634146
Michael Kidd-Gilchrist,Charlotte Hornets,2018,0.9024390243902439
Mike Conley,Memphis Grizzlies,2018,0.14634146341463414
Mike James,New Orleans Pelicans,2018,0.43902439024390244
Mike Muscala,Atlanta Hawks,2018,0.6463414634146342
Mike Scott,Washington Wizards,2018,0.926829268292683
Miles Plumlee,Atlanta Hawks,2018,0.6707317073170732
Milos Teodosic,Los Angeles Clippers,2018,0.5487804878048781
Milton Doyle,Brooklyn Nets,2018,0.12195121951219512
Mindaugas Kuzminskas,New York Knicks,2018,0.012195121951219513
Mirza Teletovic,Milwaukee Bucks,2018,0.12195121951219512
Montrezl Harrell,Los Angeles Clippers,2018,0.926829268292683
Monté Morris,Denver Nuggets,2018,0.036585365853658534
Myke Henry,Memphis Grizzlies,2018,0.24390243902439024
Myles Turner,Indiana Pacers,2018,0.7926829268292683
Nate Wolters,Utah Jazz,2018,0.06097560975609756
Naz Mitrou-Long,Utah Jazz,2018,0.012195121951219513
Nemanja Bjelica,Minnesota Timberwolves,2018,0.8170731707317073
Nene,Houston Rockets,2018,0.6341463414634146
Nerlens Noel,Dallas Mavericks,2018,0.36585365853658536
Nick Collison,Oklahoma City Thunder,2018,0.18292682926829268
Nick Young,Golden State Warriors,2018,0.975609756097561
Nicolas Batum,Charlotte Hornets,2018,0.7804878048780488
Nicolas Brussino,Atlanta Hawks,2018,0.04878048780487805
Nigel Hayes-Davis,Sacramento Kings,2018,0.10975609756097561
Nik Stauskas,Brooklyn Nets,2018,0.5
Nikola Jokic,Denver Nuggets,2018,0.9146341463414634
Nikola Mirotic,New Orleans Pelicans,2018,0.6707317073170732
Nikola Vucevic,Orlando Magic,2018,0.6951219512195121
Noah Vonleh,Chicago Bulls,2018,0.6585365853658537
Norman Powell,Toronto Raptors,2018,0.8536585365853658
OG Anunoby,Toronto Raptors,2018,0.9024390243902439
Okaro White,Cleveland Cavaliers,2018,0.07317073170731707
Omari Johnson,Memphis Grizzlies,2018,0.04878048780487805
Omer Asik,Chicago Bulls,2018,0.21951219512195122
Omri Casspi,Golden State Warriors,2018,0.6463414634146342
Otto Porter Jr.,Washington Wizards,2018,0.9390243902439024
P.J. Tucker,Houston Rockets,2018,1.0
PJ Dozier,Oklahoma City Thunder,2018,0.024390243902439025
Pascal Siakam,Toronto Raptors,2018,0.9878048780487805
Pat Connaughton,Portland Trail Blazers,2018,1.0
Patrick Beverley,Los Angeles Clippers,2018,0.13414634146341464
Patrick McCaw,Golden State Warriors,2018,0.6951219512195121
Patrick Patterson,Oklahoma City Thunder,2018,1.0
Patty Mills,San Antonio Spurs,2018,1.0
Pau Gasol,San Antonio Spurs,2018,0.9390243902439024
Paul George,Oklahoma City Thunder,2018,0.9634146341463414
Paul Millsap,Denver Nuggets,2018,0.4634146341463415
Paul Zipser,Chicago Bulls,2018,0.6585365853658537
Quincy Acy,Brooklyn Nets,2018,0.8536585365853658
Quincy Pondexter,Chicago Bulls,2018,0.2804878048780488
Quinn Cook,Golden State Warriors,2018,0.4024390243902439
RJ Hunter,Houston Rockets,2018,0.06097560975609756
Rajon Rondo,New Orleans Pelicans,2018,0.7926829268292683
Ramon Sessions,Washington Wizards,2018,0.34146341463414637
Rashad Vaughn,Orlando Magic,2018,0.34146341463414637
Raul Neto,Utah Jazz,2018,0.5
Raymond Felton,Oklahoma City Thunder,2018,1.0
Reggie Bullock Jr.,Detroit Pistons,2018,0.7560975609756098
Reggie Hearn,Detroit Pistons,2018,0.036585365853658534
Reggie Jackson,Detroit Pistons,2018,0.5487804878048781
Richard Jefferson,Denver Nuggets,2018,0.24390243902439024
Richaun Holmes,Philadelphia 76ers,2018,0.5853658536585366
Ricky Rubio,Utah Jazz,2018,0.9390243902439024
Robert Covington,Philadelphia 76ers,2018,0.975609756097561
Robin Lopez,Chicago Bulls,2018,0.7804878048780488
Rodney Hood,Cleveland Cavaliers,2018,0.7317073170731707
Rodney McGruder,Miami Heat,2018,0.21951219512195122
Rodney Purvis,Orlando Magic,2018,0.1951219512195122
Ron Baker,New York Knicks,2018,0.35365853658536583
Rondae Hollis-Jefferson,Brooklyn Nets,2018,0.8292682926829268
Royce O'Neale,Utah Jazz,2018,0.8414634146341463
Rudy Gay,San Antonio Spurs,2018,0.6951219512195121
Rudy Gobert,Utah Jazz,2018,0.6829268292682927
Russell Westbrook,Oklahoma City Thunder,2018,0.975609756097561
Ryan Anderson,Houston Rockets,2018,0.8048780487804879
Ryan Arcidiacono,Chicago Bulls,2018,0.2926829268292683
Salah Mejri,Dallas Mavericks,2018,0.7439024390243902
Sam Dekker,Los Angeles Clippers,2018,0.8902439024390244
Scotty Hopson,Dallas Mavericks,2018,0.012195121951219513
Sean Kilpatrick,Chicago Bulls,2018,0.6341463414634146
Semi Ojeleye,Boston Celtics,2018,0.8902439024390244
Serge Ibaka,Toronto Raptors,2018,0.926829268292683
Shabazz Muhammad,Milwaukee Bucks,2018,0.524390243902439
Shabazz Napier,Portland Trail Blazers,2018,0.9024390243902439
Shane Larkin,Boston Celtics,2018,0.6585365853658537
Shaquille Harrison,Phoenix Suns,2018,0.2804878048780488
Shaun Livingston,Golden State Warriors,2018,0.8658536585365854
Shelvin Mack,Orlando Magic,2018,0.8414634146341463
Sindarius Thornwell,Los Angeles Clippers,2018,0.8902439024390244
Skal Labissiere,Sacramento Kings,2018,0.7317073170731707
Solomon Hill,New Orleans Pelicans,2018,0.14634146341463414
Spencer Dinwiddie,Brooklyn Nets,2018,0.975609756097561
Stanley Johnson,Detroit Pistons,2018,0.8414634146341463
Stephen Curry,Golden State Warriors,2018,0.6219512195121951
Sterling Brown,Milwaukee Bucks,2018,0.6585365853658537
Steven Adams,Oklahoma City Thunder,2018,0.926829268292683
T.J. Leaf,Indiana Pacers,2018,0.6463414634146342
T.J. McConnell,Philadelphia 76ers,2018,0.926829268292683
T.J. Warren,Phoenix Suns,2018,0.7926829268292683
Taj Gibson,Minnesota Timberwolves,2018,1.0
Tarik Black,Houston Rockets,2018,0.6219512195121951
Taurean Prince,Atlanta Hawks,2018,1.0
Terrance Ferguson,Oklahoma City Thunder,2018,0.7439024390243902
Terrence Ross,Orlando Magic,2018,0.2926829268292683
Terry Rozier,Boston Celtics,2018,0.975609756097561
Thabo Sefolosha,Utah Jazz,2018,0.4634146341463415
Thaddeus Young,Indiana Pacers,2018,0.9878048780487805
Thomas Bryant,Los Angeles Lakers,2018,0.18292682926829268
Thon Maker,Milwaukee Bucks,2018,0.9024390243902439
Tim Frazier,Washington Wizards,2018,0.7195121951219512
Tim Hardaway Jr.,New York Knicks,2018,0.6951219512195121
Tim Quarterman,Houston Rockets,2018,0.036585365853658534
Timofey Mozgov,Brooklyn Nets,2018,0.3780487804878049
Timothe Luwawu-Cabarrot,Philadelphia 76ers,2018,0.6341463414634146
Tobias Harris,Los Angeles Clippers,2018,0.975609756097561
Tomas Satoransky,Washington Wizards,2018,0.8902439024390244
Tony Allen,New Orleans Pelicans,2018,0.2682926829268293
Tony Bradley,Utah Jazz,2018,0.10975609756097561
Tony Parker,San Antonio Spurs,2018,0.6707317073170732
Tony Snell,Milwaukee Bucks,2018,0.9146341463414634
Torrey Craig,Denver Nuggets,2018,0.47560975609756095
Travis Wear,Los Angeles Lakers,2018,0.2073170731707317
Treveon Graham,Charlotte Hornets,2018,0.7682926829268293
Trevor Ariza,Houston Rockets,2018,0.8170731707317073
Trevor Booker,Indiana Pacers,2018,0.8292682926829268
Trey Burke,New York Knicks,2018,0.43902439024390244
Trey Lyles,Denver Nuggets,2018,0.8902439024390244
Trey McKinney-Jones,Indiana Pacers,2018,0.012195121951219513
Tristan Thompson,Cleveland Cavaliers,2018,0.6463414634146342
Troy Daniels,Phoenix Suns,2018,0.9634146341463414
Troy Williams,New York Knicks,2018,0.25609756097560976
Tyler Cavanaugh,Atlanta Hawks,2018,0.47560975609756095
Tyler Dorsey,Atlanta Hawks,2018,0.6829268292682927
Tyler Ennis,Los Angeles Lakers,2018,0.6585365853658537
Tyler Johnson,Miami Heat,2018,0.8780487804878049
Tyler Lydon,Denver Nuggets,2018,0.012195121951219513
Tyler Ulis,Phoenix Suns,2018,0.8658536585365854
Tyler Zeller,Milwaukee Bucks,2018,0.8048780487804879
Tyreke Evans,Memphis Grizzlies,2018,0.6341463414634146
Tyrone Wallace,Los Angeles Clippers,2018,0.36585365853658536
Tyson Chandler,Phoenix Suns,2018,0.5609756097560976
Tyus Jones,Minnesota Timberwolves,2018,1.0
Udonis Haslem,Miami Heat,2018,0.17073170731707318
Vander Blue,Los Angeles Lakers,2018,0.06097560975609756
Victor Oladipo,Indiana Pacers,2018,0.9146341463414634
Vince Carter,Sacramento Kings,2018,0.7073170731707317
Vincent Hunter,Memphis Grizzlies,2018,0.04878048780487805
Wade Baldwin IV,Portland Trail Blazers,2018,0.08536585365853659
Walt Lemon Jr.,New Orleans Pelicans,2018,0.06097560975609756
Wayne Ellington,Miami Heat,2018,0.9390243902439024
Wayne Selden,Memphis Grizzlies,2018,0.4268292682926829
Wes Iwundu,Orlando Magic,2018,0.7560975609756098
Wesley Johnson,Los Angeles Clippers,2018,0.9024390243902439
Wesley Matthews,Dallas Mavericks,2018,0.7682926829268293
Will Barton,Denver Nuggets,2018,0.9878048780487805
Willie Cauley-Stein,Sacramento Kings,2018,0.8902439024390244
Willie Reed,Detroit Pistons,2018,0.5121951219512195
Willy Hernangomez,Charlotte Hornets,2018,0.5853658536585366
Wilson Chandler,Denver Nuggets,2018,0.9024390243902439
Xavier Munford,Milwaukee Bucks,2018,0.07317073170731707
Xavier Rathan-Mayes,Memphis Grizzlies,2018,0.06097560975609756
Xavier Silas,Boston Celtics,2018,0.024390243902439025
Yogi Ferrell,Dallas Mavericks,2018,1.0
Zach Collins,Portland Trail Blazers,2018,0.8048780487804879
Zach LaVine,Chicago Bulls,2018,0.2926829268292683
Zach Randolph,Sacramento Kings,2018,0.7195121951219512
Zaza Pachulia,Golden State Warriors,2018,0.8414634146341463
Zhou Qi,Houston Rockets,2018,0.21951219512195122
Aaron Gordon,Orlando Magic,2019,0.9512195121951219
Aaron Holiday,Indiana Pacers,2019,0.6097560975609756
Abdel Nader,Oklahoma City Thunder,2019,0.7439024390243902
Al Horford,Boston Celtics,2019,0.8292682926829268
Al-Farouq Aminu,Portland Trail Blazers,2019,0.9878048780487805
Alan Williams,Brooklyn Nets,2019,0.06097560975609756
Alec Burks,Sacramento Kings,2019,0.7804878048780488
Alex Abrines,Oklahoma City Thunder,2019,0.3780487804878049
Alex Caruso,Los Angeles Lakers,2019,0.3048780487804878
