team,year,TQ,win_pct,TQ_Z_score,Normalized_TQ_Z_score
Memphis Grizzlies,2020,-1.6173598662350834,0.4657534246575342,-1.4277133762182135,0.02173884885566968
Philadelphia 76ers,2020,-1.8216689229334888,0.589041095890411,-1.5607091408874016,0.013650881715178143
Utah Jazz,2020,-1.886649853972094,0.6111111111111112,-1.6030087273670768,0.011695214179040347
Portland Trail Blazers,2021,3.884299533968787,0.5833333333333334,1.9451813878223583,0.9970284280848986
Brooklyn Nets,2021,3.5863976129462403,0.6666666666666666,1.7621686766133748,0.9936501793361905
Denver Nuggets,2021,3.24651345904692,0.6527777777777778,1.5533646504809682,0.9859822531980624
Minnesota Timberwolves,2021,2.9940061971207674,0.3194444444444444,1.3982396400532424,0.9760023173737014
Golden State Warriors,2021,2.53629353643555,0.5416666666666666,1.117048989455393,0.9429174573156585
New Orleans Pelicans,2021,2.2370352250865677,0.4305555555555556,0.9332029950294147,0.9065404713194004
Phoenix Suns,2021,1.887490750858616,0.7083333333333334,0.718464259216649,0.8452000444948018
Oklahoma City Thunder,2021,1.599560524286623,0.3055555555555556,0.5415775468950823,0.7781339750128846
Atlanta Hawks,2021,1.552989613979622,0.5694444444444444,0.512967229346611,0.7659105278315246
Washington Wizards,2021,1.5158770547545966,0.4722222222222222,0.49016754393215606,0.7559084742656963
Los Angeles Clippers,2021,1.4614140760565308,0.6527777777777778,0.4567088224917672,0.7408226975967079
Dallas Mavericks,2021,1.287278079814537,0.5833333333333334,0.3497303220445927,0.6895564065231738
Boston Celtics,2021,1.1385047487461055,0.5,0.2583330911003699,0.6425705021178059
Chicago Bulls,2021,1.1366016546511133,0.4305555555555556,0.25716394654160096,0.6419532804210664
Sacramento Kings,2021,1.0687241137224952,0.4305555555555556,0.21546413892402957,0.6197073624396688
Houston Rockets,2021,0.3619071571276397,0.2361111111111111,-0.21876094801361562,0.37851825689993246
Toronto Raptors,2021,0.1738002393605369,0.375,-0.3343223277440849,0.31817680609557564
Charlotte Hornets,2021,0.0155419338026359,0.4583333333333333,-0.43154654661476183,0.27083188657420865
Miami Heat,2021,-0.0428945116583214,0.5555555555555556,-0.4674463228918549,0.25428405490334993
San Antonio Spurs,2021,-0.2879382806375306,0.4583333333333333,-0.6179862199553542,0.19106879515341185
Philadelphia 76ers,2021,-0.2911094225416657,0.6805555555555556,-0.6199343754943051,0.19031947865208565
Milwaukee Bucks,2021,-0.3667473380749868,0.6388888888888888,-0.6664016823999946,0.17298516735115999
Cleveland Cavaliers,2021,-0.4785476267096795,0.3055555555555556,-0.7350849385090864,0.14927053677367014
Los Angeles Lakers,2021,-0.5227808383556303,0.5833333333333334,-0.7622591170475106,0.140517507001245
Memphis Grizzlies,2021,-0.6565650581719848,0.5277777777777778,-0.8444479552447526,0.11619405417036549
New York Knicks,2021,-0.7287104481942269,0.5694444444444444,-0.8887696681893319,0.10439309205121527
Indiana Pacers,2021,-0.9689265123430344,0.4722222222222222,-1.0363437188195628,0.07137709972718465
Detroit Pistons,2021,-1.4992448980990356,0.2777777777777778,-1.3621388840472206,0.027030013423840926
Orlando Magic,2021,-1.5609473720230949,0.2916666666666667,-1.4000451083588425,0.023853855545262204
Utah Jazz,2021,-2.739857621945687,0.7222222222222222,-2.1242954266173286,0.0013313687015521491
