Team,year,win_pct,win_pct(last_year),Player Expenses(M$),Revenue(M$)
DAL,2020,0.5733333333333334,0.4024390243902439,112,295
DAL,2021,0.5833333333333334,0.5733333333333334,87,231
DAL,2022,0.6341463414634146,0.5833333333333334,117,364
DAL,2023,0.4634146341463415,0.6341463414634146,177,429
DAL,2024,0.6097560975609756,0.4634146341463415,174,437
DEN,2016,0.4024390243902439,0.3658536585365853,81,157
DEN,2017,0.4878048780487805,0.4024390243902439,95,202
DEN,2018,0.5609756097560976,0.4878048780487805,116,222
DEN,2019,0.6585365853658537,0.5609756097560976,131,252
DEN,2020,0.6301369863013698,0.6585365853658537,123,218
DEN,2021,0.6527777777777778,0.6301369863013698,109,185
DEN,2022,0.5853658536585366,0.6527777777777778,138,273
DEN,2023,0.6463414634146342,0.5853658536585366,171,348
DEN,2024,0.6951219512195121,0.6463414634146342,186,356
DET,2016,0.5365853658536586,0.3902439024390244,81,172
DET,2017,0.4512195121951219,0.5365853658536586,123,221
DET,2018,0.4756097560975609,0.4512195121951219,127,235
DET,2019,0.5,0.4756097560975609,138,255
DET,2020,0.303030303030303,0.5,123,227
DET,2021,0.2777777777777778,0.303030303030303,100,192
DET,2022,0.2804878048780488,0.2777777777777778,127,278
DET,2023,0.2073170731707317,0.2804878048780488,132,274
DET,2024,0.1707317073170731,0.2073170731707317,146,305
GSW,2016,0.8902439024390244,0.8170731707317073,111,305
GSW,2017,0.8170731707317073,0.8902439024390244,119,359
GSW,2018,0.7073170731707317,0.8170731707317073,147,401
GSW,2019,0.6951219512195121,0.7073170731707317,156,440
GSW,2020,0.2307692307692307,0.6951219512195121,129,474
GSW,2021,0.5416666666666666,0.2307692307692307,147,258
GSW,2022,0.6463414634146342,0.5416666666666666,169,765
GSW,2023,0.5365853658536586,0.6463414634146342,197,765
GSW,2024,0.5609756097560976,0.5365853658536586,215,800
HOU,2016,0.5,0.6829268292682927,103,244
HOU,2017,0.6707317073170732,0.5,108,296
HOU,2018,0.7926829268292683,0.6707317073170732,130,326
HOU,2019,0.6463414634146342,0.7926829268292683,146,348
HOU,2020,0.6111111111111112,0.6463414634146342,124,308
HOU,2021,0.2361111111111111,0.6111111111111112,113,223
HOU,2022,0.2439024390243902,0.2361111111111111,128,350
HOU,2023,0.2682926829268293,0.2439024390243902,145,381
HOU,2024,0.5,0.2682926829268293,145,416
IND,2016,0.5487804878048781,0.4634146341463415,83,157
IND,2017,0.5121951219512195,0.5487804878048781,106,205
IND,2018,0.5853658536585366,0.5121951219512195,104,222
IND,2019,0.5853658536585366,0.5853658536585366,119,243
IND,2020,0.6164383561643836,0.5853658536585366,106,217
