Player,Team,Offense,Defense,Total,Offense_value,Offense_percentile,Defense(*)_value,Defense(*)_percentile,Total_value,Total_percentile,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,STL,BLK,TOV,PTS,PLUS_MINUS,USG_PCT,TS_PCT,EFG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,PIE,ATTENDANCE_RATE,MPG
Julius Randle,MIN,1.3 (91),0.4 (34),0.9 (82),1.3,91,0.4,34,0.9,82,203944.0,Julius Randle,MIN,30.0,69.0,2225.5266666666666,455.0,939.0,0.485,108.0,314.0,0.344,270.0,335.0,0.806,487.0,323.0,47.0,16.0,196.0,1288.0,166.0,0.246,0.593,0.542,115.0,111.6,3.4,0.228,0.108,0.124,84.15,32.3
Brandon Ingram,TOR,0.5 (81),-0.4 (74),0.9 (82),0.5,81,-0.4,74,0.9,82,1627742.0,Brandon Ingram,TOR,27.0,18.0,595.0316666666666,155.0,333.0,0.465,43.0,115.0,0.374,47.0,55.0,0.855,100.0,93.0,16.0,11.0,69.0,400.0,-128.0,0.305,0.56,0.53,107.0,117.7,-10.7,0.28,0.083,0.122,21.95,33.1
Jaden McDaniels,MIN,0.1 (72),-0.8 (84),0.9 (81),0.1,72,-0.8,84,0.9,81,1630183.0,Jaden McDaniels,MIN,24.0,82.0,2614.41,398.0,834.0,0.477,100.0,303.0,0.33,104.0,128.0,0.813,470.0,163.0,110.0,74.0,95.0,1000.0,172.0,0.16,0.562,0.537,113.9,109.9,4.0,0.091,0.087,0.086,100.0,31.9
Isaiah Joe,OKC,0.7 (85),-0.2 (66),0.9 (81),0.7,85,-0.2,66,0.9,81,1630198.0,Isaiah Joe,OKC,25.0,74.0,1603.9766666666667,259.0,588.0,0.44,192.0,466.0,0.412,46.0,56.0,0.821,196.0,119.0,48.0,9.0,38.0,756.0,550.0,0.166,0.617,0.604,119.9,104.1,15.8,0.096,0.058,0.089,90.24,21.7
Bogdan Bogdanović,LAC,0.3 (78),-0.6 (79),0.9 (81),0.3,78,-0.6,79,0.9,81,203992.0,Bogdan Bogdanović,LAC,32.0,54.0,1347.6583333333333,210.0,492.0,0.427,105.0,289.0,0.363,58.0,66.0,0.879,159.0,146.0,41.0,11.0,74.0,583.0,106.0,0.183,0.559,0.534,112.7,110.0,2.7,0.152,0.057,0.074,65.85,25.0
Jordan Walsh,BOS,1.2 (90),0.3 (37),0.9 (81),1.2,90,0.3,37,0.9,81,1641775.0,Jordan Walsh,BOS,21.0,52.0,403.00333333333333,30.0,83.0,0.361,15.0,55.0,0.273,7.0,12.0,0.583,69.0,19.0,12.0,11.0,17.0,82.0,25.0,0.11,0.464,0.452,111.8,108.0,3.8,0.064,0.085,0.045,63.41,7.8
Yuki Kawamura,MEM,0.7 (84),-0.2 (63),0.9 (81),0.7,84,-0.2,63,0.9,81,1642530.0,Yuki Kawamura,MEM,24.0,22.0,92.66666666666667,11.0,30.0,0.367,7.0,23.0,0.304,7.0,9.0,0.778,12.0,19.0,2.0,0.0,5.0,36.0,27.0,0.167,0.53,0.483,114.6,102.5,12.1,0.257,0.063,0.086,26.83,4.2
Mitchell Robinson,NYK,0.4 (80),-0.4 (75),0.8 (81),0.4,80,-0.4,75,0.8,81,1629011.0,Mitchell Robinson,NYK,27.0,17.0,290.12333333333333,37.0,56.0,0.661,0.0,0.0,0.0,13.0,19.0,0.684,101.0,13.0,16.0,18.0,10.0,87.0,23.0,0.109,0.676,0.661,113.8,108.2,5.7,0.062,0.175,0.122,20.73,17.1
Immanuel Quickley,TOR,0.4 (80),-0.4 (75),0.8 (80),0.4,80,-0.4,75,0.8,80,1630193.0,Immanuel Quickley,TOR,26.0,33.0,917.7533333333333,184.0,438.0,0.42,85.0,225.0,0.378,111.0,128.0,0.867,117.0,191.0,23.0,4.0,58.0,564.0,-39.0,0.246,0.57,0.517,109.0,110.7,-1.6,0.32,0.06,0.128,40.24,27.8
Draymond Green,GSW,-1.2 (27),-2.0 (98),0.8 (80),-1.2,27,-2.0,98,0.8,80,203110.0,Draymond Green,GSW,35.0,68.0,1983.3066666666666,216.0,509.0,0.424,80.0,246.0,0.325,101.0,147.0,0.687,414.0,383.0,99.0,70.0,174.0,613.0,275.0,0.157,0.534,0.503,115.4,108.8,6.6,0.255,0.102,0.088,82.93,29.2
