Player,Team,RAPM_offense,RAPM_defense,USG_percent,PLUS_MINUS_value,Attendance,Performance
Danté Exum,DAL,0.0,-0.3,0.193,-48.0,24.39,12.8
Adama Sanogo,CHI,0.3,-0.0,0.145,-5.0,4.88,3.5
Kam Jones,IND,0.3,0.0,,,,
Keon Ellis,SAC,-0.4,-0.7,0.125,64.0,97.56,13.8875
Jalen Pickett,DEN,-0.6,-0.8,0.13,52.0,59.76,7.714285714285714
Nicolas Batum,LAC,-0.3,-0.5,0.087,152.0,95.12,8.576923076923077
David Duke Jr.,SAS,0.2,0.0,0.207,28.0,7.32,4.0
Alex Reese,PHI,0.4,0.2,0.123,19.0,18.29,9.4
Isaiah Crawford,HOU,0.1,-0.1,0.122,23.0,18.29,1.6
Devin Carter,SAC,-0.3,-0.5,0.169,43.0,43.9,7.277777777777778
Myron Gardner,MIA,-0.3,-0.5,,,,
Dylan Cardwell,SAC,-0.3,-0.5,,,,
N'Faly Dante,ATL,0.3,0.1,0.133,-11.0,4.88,12.75
Kevon Looney,NOP,-0.4,-0.6,0.125,117.0,92.68,12.736842105263158
Michael Porter Jr.,BKN,1.4,1.2,0.197,265.0,93.9,27.103896103896105
Jonathan Isaac,ORL,-1.7,-1.9,0.155,-38.0,86.59,11.859154929577464
Jared McCain,PHI,-0.4,-0.6,0.243,-27.0,28.05,19.391304347826086
Cam Christie,LAC,-1.0,-1.2,0.192,-10.0,15.85,3.076923076923077
Bones Hyland,MIN,-0.7,-0.8,0.274,-31.0,29.27,8.458333333333334
Trae Young,ATL,2.2,2.1,0.285,34.0,92.68,35.5921052631579
Kevin Knox II,GSW,0.4,0.3,0.202,-3.0,17.07,5.0
Terry Taylor,SAC,-0.3,-0.4,0.067,9.0,3.66,1.0
Malcolm Brogdon,WAS,0.1,-0.0,0.231,-121.0,29.27,19.75
Tre Jones,CHI,0.1,0.0,0.136,-31.0,56.1,14.130434782608695
Cole Swider,TOR,-0.1,-0.2,0.155,54.0,12.2,9.1
Josh Minott,BOS,-0.0,-0.1,0.16,-16.0,56.1,4.3478260869565215
Jazian Gortman,DAL,0.0,-0.1,0.195,11.0,19.51,2.0625
Asa Newell,ATL,0.1,-0.0,,,,
Isaiah Stewart,DET,-0.5,-0.6,0.121,9.0,87.8,14.13888888888889
Joe Ingles,MIN,0.5,0.4,0.113,2.0,23.17,2.210526315789474
Leonard Miller,MIN,-0.2,-0.3,0.239,-12.0,15.85,2.4615384615384617
Oscar Tshiebwe,UTA,0.3,0.2,0.144,-11.0,17.07,17.285714285714285
Tyler Smith,MIL,-0.2,-0.3,0.205,8.0,28.05,4.130434782608695
Egor Dëmin,BKN,-0.8,-0.9,,,,
Harrison Barnes,SAS,1.4,1.3,0.157,-25.0,100.0,17.804878048780488
Landry Shamet,NYK,-0.3,-0.3,0.143,88.0,60.98,7.54
Jabari Walker,PHI,0.1,0.1,0.156,15.0,73.17,9.433333333333334
Jonas Valančiūnas,DEN,0.6,0.6,0.222,-304.0,98.78,19.71604938271605
Malik Monk,SAC,0.7,0.7,0.236,116.0,79.27,25.6
