Player,Team,RAPM_offense,RAPM_defense,USG_percent,PLUS_MINUS_value,Attendance,Performance
Damian Lillard,MIL,0.4,-0.6,0.269,53.0,70.73,35.293103448275865
Jaime Jaquez Jr.,MIA,0.5,-0.5,0.194,-152.0,80.49,15.196969696969697
Brandon Miller,CHA,0.7,-0.3,0.27,-124.0,32.93,28.51851851851852
John Collins,LAC,0.9,-0.1,0.234,-16.0,48.78,28.525
Anthony Edwards,MIN,1.6,0.6,0.307,291.0,96.34,36.44303797468354
Ivica Zubac,LAC,-0.3,-1.3,0.192,514.0,97.56,32.275
Paul George,PHI,-0.1,-1.1,0.233,-83.0,50.0,25.634146341463413
Naji Marshall,DAL,0.2,-0.8,0.197,-137.0,84.15,20.565217391304348
Gui Santos,GSW,-0.2,-1.2,0.126,165.0,68.29,8.428571428571429
Elijah Harkless,UTA,0.2,-0.8,0.12,31.0,12.2,6.9
David Jones Garcia,SAS,0.7,-0.3,,,,
Ausar Thompson,DET,-0.2,-1.1,0.185,67.0,71.95,18.45762711864407
Saddiq Bey,NOP,2.1,1.2,,,,
Julius Randle,MIN,1.3,0.4,0.246,166.0,84.15,28.47826086956522
Brandon Ingram,TOR,0.5,-0.4,0.305,-128.0,21.95,30.61111111111111
Jaden McDaniels,MIN,0.1,-0.8,0.16,172.0,100.0,21.0
Isaiah Joe,OKC,0.7,-0.2,0.166,550.0,90.24,14.72972972972973
Bogdan Bogdanović,LAC,0.3,-0.6,0.183,106.0,65.85,16.037037037037038
Jordan Walsh,BOS,1.2,0.3,0.11,25.0,63.41,3.3846153846153846
Yuki Kawamura,MEM,0.7,-0.2,0.167,27.0,26.83,2.909090909090909
Mitchell Robinson,NYK,0.4,-0.4,0.109,23.0,20.73,13.235294117647058
Immanuel Quickley,TOR,0.4,-0.4,0.246,-39.0,40.24,25.484848484848484
Draymond Green,GSW,-1.2,-2.0,0.157,275.0,82.93,20.66176470588235
Desmond Bane,ORL,0.9,0.1,0.227,143.0,84.15,29.753623188405797
Toumani Camara,POR,-0.2,-1.0,0.143,-114.0,95.12,20.05128205128205
Tobias Harris,DET,-0.3,-1.1,0.173,187.0,89.02,22.493150684931507
Jaylen Brown,BOS,1.6,0.8,0.282,402.0,76.83,31.46031746031746
Jabari Smith Jr.,HOU,0.2,-0.6,0.16,250.0,69.51,20.385964912280702
James Harden,LAC,1.6,0.8,0.286,344.0,96.34,35.151898734177216
Anthony Davis,DAL,-0.2,-1.0,0.301,25.0,62.2,40.94117647058823
Jordan McLaughlin,SAS,0.2,-0.6,0.134,57.0,56.1,3.9130434782608696
Daishen Nix,MIN,0.6,-0.2,0.176,9.0,3.66,1.3333333333333333
Donovan Clingan,POR,0.0,-0.8,0.135,-2.0,81.71,16.597014925373134
Harrison Ingram,SAS,0.6,-0.2,0.06,30.0,6.1,3.6
Day'Ron Sharpe,BKN,-0.6,-1.4,0.186,64.0,60.98,16.76
Isaac Okoro,CHI,0.7,0.0,0.124,253.0,67.07,10.181818181818182
Jalen Duren,DET,1.2,0.5,0.161,36.0,95.12,24.884615384615383
Zion Williamson,NOP,1.0,0.3,0.325,-42.0,36.59,36.2
Ja Morant,MEM,-0.2,-0.9,0.312,226.0,60.98,32.32
Aaron Nesmith,IND,0.8,0.2,0.171,198.0,54.88,17.511111111111113
Malik Beasley,DET,-0.2,-0.8,0.215,175.0,100.0,20.536585365853657
Bam Adebayo,MIA,-0.1,-0.7,0.232,27.0,95.12,31.871794871794872
Josh Okogie,HOU,-0.0,-0.6,0.185,-13.0,48.78,11.625
Lamar Stevens,MEM,-0.6,-1.1,0.21,67.0,20.73,6.9411764705882355
Quenton Jackson,IND,-0.6,-1.1,0.167,-1.0,34.15,9.607142857142858
Caris LeVert,DET,-0.1,-0.6,0.191,258.0,78.05,18.875
Jrue Holiday,POR,-0.8,-1.3,0.156,339.0,75.61,19.451612903225808
Kevin Huerter,CHI,0.4,-0.1,0.171,104.0,84.15,15.420289855072463
Nikola Jović,MIA,-0.4,-0.9,0.178,-20.0,56.1,17.304347826086957
Jared Rhoden,TOR,0.7,0.2,0.183,64.0,17.07,12.785714285714286
Walker Kessler,UTA,-0.2,-0.7,0.133,-329.0,70.73,26.43103448275862
Wendell Carter Jr.,ORL,-0.7,-1.1,0.159,-13.0,82.93,18.529411764705884
Mikal Bridges,NYK,-0.5,-0.9,0.192,334.0,100.0,24.329268292682926
Marvin Bagley III,WAS,0.2,-0.2,0.2,-10.0,37.8,7.612903225806452
Nickeil Alexander-Walker,ATL,0.2,-0.2,0.155,270.0,100.0,15.195121951219512
De'Andre Hunter,CLE,1.3,0.9,0.221,88.0,78.05,22.171875
Julian Phillips,CHI,-0.1,-0.5,0.126,30.0,96.34,7.658227848101266
Pelle Larsson,MIA,0.4,-0.0,0.141,10.0,67.07,7.6909090909090905
Jamal Shead,TOR,0.1,-0.3,0.179,-234.0,91.46,12.2
Jaylon Tyson,CLE,0.4,0.0,0.164,-2.0,57.32,6.319148936170213
Svi Mykhailiuk,UTA,0.6,0.2,0.198,-106.0,46.34,12.473684210526315
Sion James,CHA,-0.2,-0.6,,,,
Kevin Love,UTA,1.5,1.1,0.23,-25.0,28.05,10.565217391304348
Tyler Herro,MIA,1.0,0.7,0.271,99.0,93.9,33.12987012987013
Moses Moody,GSW,-0.6,-0.9,0.17,132.0,90.24,14.121621621621621
Jusuf Nurkić,UTA,-1.0,-1.3,0.202,-184.0,62.2,18.49019607843137
T.J. McConnell,IND,0.2,-0.1,0.226,-56.0,96.34,15.936708860759493
RJ Barrett,TOR,1.0,0.7,0.281,-139.0,70.73,31.03448275862069
Patrick Baldwin Jr.,LAC,0.1,-0.2,0.151,29.0,29.27,3.375
Lonzo Ball,CLE,-1.2,-1.5,0.152,100.0,42.68,14.942857142857143
Liam McNeeley,CHA,-0.1,-0.4,,,,
Josh Hart,NYK,0.3,-0.0,0.151,203.0,93.9,28.948051948051948
