Player,Team,Offense,Defense,Total,Offense_value,Offense_percentile,Defense(*)_value,Defense(*)_percentile,Total_value,Total_percentile
Johnny Furphy,IND,-0.5 (50),0.1 (47),-0.6 (51),-0.5,50,0.1,47,-0.6,51
Tristen Newton,MIN,-0.5 (49),0.1 (47),-0.6 (51),-0.5,49,0.1,47,-0.6,51
Anton Watson,NYK,-0.3 (58),0.3 (35),-0.6 (51),-0.3,58,0.3,35,-0.6,51
Kobe Sanders,LAC,-0.3 (57),0.3 (34),-0.6 (50),-0.3,57,0.3,34,-0.6,50
Kasparas Jakučionis,MIA,0.1 (71),0.7 (18),-0.6 (50),0.1,71,0.7,18,-0.6,50
Peyton Watson,DEN,-0.4 (56),0.2 (44),-0.6 (50),-0.4,56,0.2,44,-0.6,50
Devin Vassell,SAS,0.2 (75),0.8 (16),-0.6 (50),0.2,75,0.8,16,-0.6,50
Dru Smith,MIA,-2.5 (3),-1.9 (97),-0.6 (50),-2.5,3,-1.9,97,-0.6,50
Isaiah Jackson,IND,-0.4 (55),0.2 (43),-0.6 (50),-0.4,55,0.2,43,-0.6,50
Isaiah Livers,PHX,-0.2 (64),0.4 (32),-0.6 (50),-0.2,64,0.4,32,-0.6,50
Josh Christopher,MIA,-0.4 (54),0.2 (41),-0.6 (49),-0.4,54,0.2,41,-0.6,49
Jesse Edwards,MIN,-0.4 (53),0.2 (41),-0.6 (49),-0.4,53,0.2,41,-0.6,49
Adou Thiero,LAL,-0.2 (62),0.4 (30),-0.6 (49),-0.2,62,0.4,30,-0.6,49
Noah Penda,ORL,-0.4 (53),0.2 (40),-0.6 (49),-0.4,53,0.2,40,-0.6,49
Ethan Thompson,IND,-0.4 (53),0.2 (39),-0.6 (49),-0.4,53,0.2,39,-0.6,49
Delon Wright,NYK,-1.7 (15),-1.0 (89),-0.7 (49),-1.7,15,-1.0,89,-0.7,49
Ben Simmons,LAC,-0.6 (48),0.1 (50),-0.7 (48),-0.6,48,0.1,50,-0.7,48
John Konchar,MEM,-1.9 (10),-1.2 (93),-0.7 (48),-1.9,10,-1.2,93,-0.7,48
Simone Fontecchio,MIA,-1.0 (34),-0.3 (70),-0.7 (48),-1.0,34,-0.3,70,-0.7,48
KJ Martin,UTA,-0.3 (60),0.4 (33),-0.7 (48),-0.3,60,0.4,33,-0.7,48
Chris Livingston,CLE,-1.0 (32),-0.3 (68),-0.7 (48),-1.0,32,-0.3,68,-0.7,48
A.J. Lawson,TOR,-0.0 (69),0.7 (19),-0.7 (48),-0.0,69,0.7,19,-0.7,48
Alondes Williams,DET,-0.6 (45),0.1 (48),-0.7 (47),-0.6,45,0.1,48,-0.7,47
PJ Dozier,MIN,-0.7 (41),0.0 (52),-0.7 (47),-0.7,41,0.0,52,-0.7,47
Nae'Qwan Tomlin,CLE,-0.9 (35),-0.2 (63),-0.7 (47),-0.9,35,-0.2,63,-0.7,47
Jahmir Young,MIA,-0.2 (63),0.5 (26),-0.7 (47),-0.2,63,0.5,26,-0.7,47
Terence Davis,SAC,-0.6 (45),0.1 (46),-0.7 (47),-0.6,45,0.1,46,-0.7,47
DaRon Holmes II,DEN,-0.3 (58),0.4 (30),-0.7 (47),-0.3,58,0.4,30,-0.7,47
Jamir Watkins,WAS,-1.2 (24),-0.5 (76),-0.7 (47),-1.2,24,-0.5,76,-0.7,47
Javon Small,MEM,-0.3 (57),0.4 (30),-0.7 (46),-0.3,57,0.4,30,-0.7,46
Ochai Agbaji,TOR,-1.3 (22),-0.6 (80),-0.7 (46),-1.3,22,-0.6,80,-0.7,46
Santi Aldama,MEM,0.4 (79),1.1 (10),-0.7 (46),0.4,79,1.1,10,-0.7,46
Chris Youngblood,OKC,-0.8 (38),-0.1 (58),-0.7 (46),-0.8,38,-0.1,58,-0.7,46
Will Richard,GSW,-1.3 (21),-0.6 (78),-0.7 (46),-1.3,21,-0.6,78,-0.7,46
Moussa Cisse,DAL,-0.8 (38),-0.1 (58),-0.7 (46),-0.8,38,-0.1,58,-0.7,46
DeMar DeRozan,SAC,0.6 (83),1.4 (6),-0.8 (45),0.6,83,1.4,6,-0.8,45
Kris Murray,POR,-1.7 (13),-0.9 (86),-0.8 (45),-1.7,13,-0.9,86,-0.8,45
Scoot Henderson,POR,0.6 (83),1.4 (5),-0.8 (45),0.6,83,1.4,5,-0.8,45
Kevin Porter Jr.,MIL,-1.4 (19),-0.6 (78),-0.8 (45),-1.4,19,-0.6,78,-0.8,45
Andrew Nembhard,IND,-0.9 (37),-0.1 (62),-0.8 (45),-0.9,37,-0.1,62,-0.8,45
Cam Thomas,BKN,1.3 (91),2.1 (2),-0.8 (45),1.3,91,2.1,2,-0.8,45
JT Thor,WAS,-1.0 (34),-0.2 (66),-0.8 (45),-1.0,34,-0.2,66,-0.8,45
Eric Gordon,PHI,-0.5 (51),0.3 (39),-0.8 (44),-0.5,51,0.3,39,-0.8,44
Jamaree Bouyea,PHX,-1.1 (29),-0.3 (69),-0.8 (44),-1.1,29,-0.3,69,-0.8,44
Gary Harris,MIL,-0.9 (37),-0.1 (60),-0.8 (44),-0.9,37,-0.1,60,-0.8,44
Daniel Theis,NOP,-0.4 (55),0.4 (32),-0.8 (44),-0.4,55,0.4,32,-0.8,44
Braxton Key,GSW,-0.8 (40),0.0 (54),-0.8 (44),-0.8,40,0.0,54,-0.8,44
Jordan Miller,LAC,-0.6 (46),0.2 (43),-0.8 (44),-0.6,46,0.2,43,-0.8,44
Lester Quinones,NOP,-0.6 (46),0.2 (43),-0.8 (43),-0.6,46,0.2,43,-0.8,43
Brandon Williams,DAL,-0.3 (58),0.5 (26),-0.8 (43),-0.3,58,0.5,26,-0.8,43
Trey Alexander,NOP,-0.9 (36),-0.1 (59),-0.8 (43),-0.9,36,-0.1,59,-0.8,43
Skal Labissiere,SAC,-0.6 (45),0.2 (41),-0.8 (43),-0.6,45,0.2,41,-0.8,43
Emanuel Miller,CHI,-0.5 (49),0.3 (35),-0.8 (43),-0.5,49,0.3,35,-0.8,43
Koby Brea,PHX,-0.6 (44),0.2 (40),-0.8 (43),-0.6,44,0.2,40,-0.8,43
P.J. Washington,DAL,-1.4 (20),-0.5 (77),-0.9 (43),-1.4,20,-0.5,77,-0.9,43
LeBron James,LAL,-0.2 (65),0.7 (20),-0.9 (42),-0.2,65,0.7,20,-0.9,42
Sidy Cissoko,POR,-2.0 (8),-1.1 (90),-0.9 (42),-2.0,8,-1.1,90,-0.9,42
Noah Clowney,BKN,-0.3 (59),0.6 (22),-0.9 (42),-0.3,59,0.6,22,-0.9,42
Quincy Olivari,LAL,-0.6 (45),0.3 (36),-0.9 (42),-0.6,45,0.3,36,-0.9,42
Hunter Dickinson,NOP,-0.7 (41),0.2 (40),-0.9 (42),-0.7,41,0.2,40,-0.9,42
Royce O'Neale,PHX,-0.9 (37),-0.0 (56),-0.9 (42),-0.9,37,-0.0,56,-0.9,42
Jaden Springer,UTA,-0.8 (40),0.1 (49),-0.9 (41),-0.8,40,0.1,49,-0.9,41
Blake Wesley,POR,-0.5 (50),0.4 (32),-0.9 (41),-0.5,50,0.4,32,-0.9,41
Adem Bona,PHI,-1.0 (32),-0.1 (60),-0.9 (41),-1.0,32,-0.1,60,-0.9,41
Kyle Filipowski,UTA,-0.1 (66),0.8 (15),-0.9 (41),-0.1,66,0.8,15,-0.9,41
Kai Jones,DAL,-0.8 (39),0.1 (47),-0.9 (41),-0.8,39,0.1,47,-0.9,41
Alex Ducas,OKC,-0.8 (39),0.1 (47),-0.9 (41),-0.8,39,0.1,47,-0.9,41
Sharife Cooper,WAS,-0.8 (38),0.1 (45),-0.9 (41),-0.8,38,0.1,45,-0.9,41
Jahmyl Telfort,LAC,-1.0 (31),-0.1 (57),-0.9 (40),-1.0,31,-0.1,57,-0.9,40
Zach Collins,CHI,-1.1 (30),-0.2 (65),-0.9 (40),-1.1,30,-0.2,65,-0.9,40
Thanasis Antetokounmpo,MIL,-1.1 (29),-0.2 (65),-0.9 (40),-1.1,29,-0.2,65,-0.9,40
Jacob Toppin,ATL,-1.1 (28),-0.2 (64),-0.9 (40),-1.1,28,-0.2,64,-0.9,40
Justin Champagnie,WAS,0.7 (84),1.6 (2),-0.9 (40),0.7,84,1.6,2,-0.9,40
Darius Garland,CLE,0.7 (85),1.7 (2),-1.0 (40),0.7,85,1.7,2,-1.0,40
Bobby Portis,MIL,-0.3 (62),0.7 (21),-1.0 (39),-0.3,62,0.7,21,-1.0,39
Dario Šarić,SAC,-1.0 (34),0.0 (56),-1.0 (39),-1.0,34,0.0,56,-1.0,39
Cole Anthony,MIL,-1.2 (26),-0.2 (65),-1.0 (39),-1.2,26,-0.2,65,-1.0,39
Caleb Houstan,ATL,-0.7 (43),0.3 (37),-1.0 (39),-0.7,43,0.3,37,-1.0,39
Max Christie,DAL,-0.5 (51),0.5 (27),-1.0 (39),-0.5,51,0.5,27,-1.0,39
Craig Porter Jr.,CLE,-0.1 (67),0.9 (13),-1.0 (39),-0.1,67,0.9,13,-1.0,39
Colby Jones,DET,-0.7 (43),0.3 (37),-1.0 (39),-0.7,43,0.3,37,-1.0,39
Adam Flagler,OKC,-1.5 (17),-0.5 (76),-1.0 (38),-1.5,17,-0.5,76,-1.0,38
Mason Jones,SAC,-0.9 (36),0.1 (47),-1.0 (38),-0.9,36,0.1,47,-1.0,38
Isaiah Wong,CHA,-1.6 (16),-0.6 (79),-1.0 (38),-1.6,16,-0.6,79,-1.0,38
Matas Buzelis,CHI,-1.1 (28),-0.1 (60),-1.0 (38),-1.1,28,-0.1,60,-1.0,38
Liam Robbins,MIL,-1.3 (21),-0.3 (67),-1.0 (38),-1.3,21,-0.3,67,-1.0,38
Micah Peavy,NOP,-1.0 (31),-0.0 (51),-1.0 (38),-1.0,31,-0.0,51,-1.0,38
Jase Richardson,ORL,-0.5 (48),0.5 (25),-1.0 (37),-0.5,48,0.5,25,-1.0,37
Christian Wood,LAL,-1.4 (20),-0.3 (70),-1.1 (37),-1.4,20,-0.3,70,-1.1,37
Rasheer Fleming,PHX,-1.2 (24),-0.1 (58),-1.1 (37),-1.2,24,-0.1,58,-1.1,37
MarJon Beauchamp,NYK,-1.3 (23),-0.2 (67),-1.1 (37),-1.3,23,-0.2,67,-1.1,37
Tim Hardaway Jr.,DEN,0.2 (75),1.3 (7),-1.1 (37),0.2,75,1.3,7,-1.1,37
Josh Green,CHA,-0.7 (44),0.4 (33),-1.1 (37),-0.7,44,0.4,33,-1.1,37
Matt Ryan,NYK,-1.7 (14),-0.6 (80),-1.1 (36),-1.7,14,-0.6,80,-1.1,36
Keldon Johnson,SAS,-0.5 (51),0.6 (23),-1.1 (36),-0.5,51,0.6,23,-1.1,36
Jaxson Hayes,LAL,-1.3 (22),-0.2 (65),-1.1 (36),-1.3,22,-0.2,65,-1.1,36
Anthony Black,ORL,-1.3 (22),-0.2 (65),-1.1 (36),-1.3,22,-0.2,65,-1.1,36
Chuma Okeke,CLE,-0.7 (43),0.4 (33),-1.1 (36),-0.7,43,0.4,33,-1.1,36
Mac McClung,IND,-0.7 (41),0.4 (31),-1.1 (36),-0.7,41,0.4,31,-1.1,36
Miles Norris,BOS,-1.0 (32),0.1 (46),-1.1 (36),-1.0,32,0.1,46,-1.1,36
Khaman Maluach,PHX,-1.0 (32),0.1 (46),-1.1 (35),-1.0,32,0.1,46,-1.1,35
Nique Clifford,SAC,-0.8 (38),0.3 (35),-1.1 (35),-0.8,38,0.3,35,-1.1,35
Alijah Martin,TOR,-0.8 (38),0.3 (34),-1.1 (35),-0.8,38,0.3,34,-1.1,35
Alec Burks,MIA,-0.7 (44),0.5 (28),-1.2 (35),-0.7,44,0.5,28,-1.2,35
Justin Minaya,POR,-1.3 (22),-0.1 (61),-1.2 (35),-1.3,22,-0.1,61,-1.2,35
Trayce Jackson-Davis,GSW,-0.7 (43),0.5 (27),-1.2 (35),-0.7,43,0.5,27,-1.2,35
TyTy Washington Jr.,LAC,-0.9 (36),0.3 (37),-1.2 (34),-0.9,36,0.3,37,-1.2,34
Ricky Council IV,PHI,-0.2 (63),1.0 (12),-1.2 (34),-0.2,63,1.0,12,-1.2,34
Pat Spencer,GSW,-1.4 (19),-0.2 (63),-1.2 (34),-1.4,19,-0.2,63,-1.2,34
Baylor Scheierman,BOS,-1.5 (16),-0.3 (67),-1.2 (34),-1.5,16,-0.3,67,-1.2,34
Tyson Etienne,BKN,-0.7 (41),0.5 (26),-1.2 (34),-0.7,41,0.5,26,-1.2,34
Taelon Peter,IND,-1.4 (19),-0.2 (62),-1.2 (34),-1.4,19,-0.2,62,-1.2,34
Walter Clayton Jr.,UTA,0.3 (76),1.5 (4),-1.2 (34),0.3,76,1.5,4,-1.2,34
Hunter Sallis,PHI,-1.0 (31),0.2 (40),-1.2 (33),-1.0,31,0.2,40,-1.2,33
Noa Essengue,CHI,-0.9 (35),0.3 (34),-1.2 (33),-0.9,35,0.3,34,-1.2,33
Lachlan Olbrich,CHI,-1.3 (21),-0.1 (57),-1.2 (33),-1.3,21,-0.1,57,-1.2,33
Chucky Hepburn,TOR,-1.0 (31),0.2 (39),-1.2 (33),-1.0,31,0.2,39,-1.2,33
Anthony Gill,WAS,-1.6 (16),-0.4 (74),-1.2 (33),-1.6,16,-0.4,74,-1.2,33
James Johnson,IND,-1.1 (28),0.1 (48),-1.2 (33),-1.1,28,0.1,48,-1.2,33
Cody Martin,IND,-2.2 (6),-1.0 (88),-1.2 (32),-2.2,6,-1.0,88,-1.2,32
Dillon Brooks,PHX,-1.7 (14),-0.4 (74),-1.3 (32),-1.7,14,-0.4,74,-1.3,32
Taurean Prince,MIL,-0.6 (47),0.7 (20),-1.3 (32),-0.6,47,0.7,20,-1.3,32
Dariq Whitehead,BKN,-0.7 (42),0.6 (23),-1.3 (32),-0.7,42,0.6,23,-1.3,32
Georges Niang,ATL,-0.1 (68),1.2 (9),-1.3 (32),-0.1,68,1.2,9,-1.3,32
Zach LaVine,SAC,0.0 (70),1.3 (7),-1.3 (32),0.0,70,1.3,7,-1.3,32
Spencer Dinwiddie,DAL,-0.2 (65),1.1 (11),-1.3 (32),-0.2,65,1.1,11,-1.3,32
Killian Hayes,BKN,-0.5 (52),0.8 (17),-1.3 (31),-0.5,52,0.8,17,-1.3,31
Marcus Sasser,DET,-1.0 (34),0.3 (39),-1.3 (31),-1.0,34,0.3,39,-1.3,31
Kelly Olynyk,SAS,-0.8 (40),0.5 (28),-1.3 (31),-0.8,40,0.5,28,-1.3,31
Chris Duarte,CHI,-1.1 (29),0.2 (43),-1.3 (31),-1.1,29,0.2,43,-1.3,31
Lindy Waters III,SAS,-1.0 (33),0.3 (38),-1.3 (31),-1.0,33,0.3,38,-1.3,31
Garrison Mathews,IND,-1.0 (33),0.3 (38),-1.3 (31),-1.0,33,0.3,38,-1.3,31
Miles Bridges,CHA,-0.4 (55),0.9 (13),-1.3 (30),-0.4,55,0.9,13,-1.3,30
Vít Krejčí,ATL,-1.1 (28),0.2 (42),-1.3 (30),-1.1,28,0.2,42,-1.3,30
Enrique Freeman,IND,-0.8 (39),0.5 (26),-1.3 (30),-0.8,39,0.5,26,-1.3,30
Antonio Reeves,CHA,-0.3 (58),1.0 (11),-1.3 (30),-0.3,58,1.0,11,-1.3,30
Bobi Klintman,DET,-1.0 (32),0.3 (36),-1.3 (30),-1.0,32,0.3,36,-1.3,30
Tony Bradley,IND,-1.0 (32),0.3 (36),-1.3 (30),-1.0,32,0.3,36,-1.3,30
Jaylen Sims,CHA,-0.8 (39),0.5 (25),-1.3 (30),-0.8,39,0.5,25,-1.3,30
Miles Kelly,DAL,-1.3 (21),0.0 (51),-1.3 (29),-1.3,21,0.0,51,-1.3,29
Tre Johnson,WAS,-0.5 (48),0.8 (14),-1.3 (29),-0.5,48,0.8,14,-1.3,29
Caleb Love,POR,-1.0 (31),0.3 (35),-1.3 (29),-1.0,31,0.3,35,-1.3,29
Johni Broome,PHI,-1.1 (27),0.2 (40),-1.3 (29),-1.1,27,0.2,40,-1.3,29
Jahmai Mashack,MEM,-1.2 (23),0.1 (45),-1.3 (29),-1.2,23,0.1,45,-1.3,29
Seth Curry,GSW,-1.5 (18),-0.1 (62),-1.4 (29),-1.5,18,-0.1,62,-1.4,29
Paolo Banchero,ORL,-0.2 (64),1.2 (8),-1.4 (28),-0.2,64,1.2,8,-1.4,28
Ben Sheppard,IND,-0.6 (47),0.8 (16),-1.4 (28),-0.6,47,0.8,16,-1.4,28
Dalen Terry,CHI,-1.7 (13),-0.3 (69),-1.4 (28),-1.7,13,-0.3,69,-1.4,28
Jalen Wilson,BKN,-0.6 (46),0.8 (15),-1.4 (28),-0.6,46,0.8,15,-1.4,28
Patty Mills,LAC,-1.8 (11),-0.4 (73),-1.4 (28),-1.8,11,-0.4,73,-1.4,28
Trey Murphy III,NOP,-0.9 (36),0.5 (26),-1.4 (28),-0.9,36,0.5,26,-1.4,28
Taze Moore,POR,-1.4 (19),0.0 (54),-1.4 (28),-1.4,19,0.0,54,-1.4,28
Alexandre Sarr,WAS,-1.2 (25),0.2 (42),-1.4 (27),-1.2,25,0.2,42,-1.4,27
Dillon Jones,OKC,-1.7 (13),-0.3 (68),-1.4 (27),-1.7,13,-0.3,68,-1.4,27
Damion Lee,PHX,-1.4 (19),0.0 (53),-1.4 (27),-1.4,19,0.0,53,-1.4,27
Xavier Tillman,BOS,-1.6 (16),-0.2 (66),-1.4 (27),-1.6,16,-0.2,66,-1.4,27
Jack McVeigh,HOU,-1.6 (15),-0.2 (63),-1.4 (27),-1.6,15,-0.2,63,-1.4,27
Malevy Leons,GSW,-1.1 (28),0.3 (36),-1.4 (27),-1.1,28,0.3,36,-1.4,27
Kentavious Caldwell-Pope,MEM,-2.3 (5),-0.8 (84),-1.5 (26),-2.3,5,-0.8,84,-1.5,26
Thomas Bryant,CLE,-1.0 (35),0.5 (29),-1.5 (26),-1.0,35,0.5,29,-1.5,26
Lonnie Walker IV,PHI,-0.7 (44),0.8 (17),-1.5 (26),-0.7,44,0.8,17,-1.5,26
Vasilije Micić,PHX,-1.7 (15),-0.2 (66),-1.5 (26),-1.7,15,-0.2,66,-1.5,26
Terance Mann,BKN,0.1 (71),1.6 (3),-1.5 (26),0.1,71,1.6,3,-1.5,26
Cam Reddish,LAL,-1.3 (22),0.2 (43),-1.5 (26),-1.3,22,0.2,43,-1.5,26
Moses Brown,DAL,-0.9 (36),0.6 (23),-1.5 (26),-0.9,36,0.6,23,-1.5,26
Anfernee Simons,BOS,-0.6 (46),0.9 (13),-1.5 (25),-0.6,46,0.9,13,-1.5,25
Brandon Boston Jr.,NOP,-0.7 (42),0.8 (15),-1.5 (25),-0.7,42,0.8,15,-1.5,25
Tosan Evbuomwan,NYK,-1.7 (13),-0.2 (63),-1.5 (25),-1.7,13,-0.2,63,-1.5,25
Tristan da Silva,ORL,-1.3 (21),0.2 (42),-1.5 (25),-1.3,21,0.2,42,-1.5,25
Karlo Matković,NOP,-1.5 (17),-0.0 (53),-1.5 (25),-1.5,17,-0.0,53,-1.5,25
Luke Travers,CLE,-1.6 (15),-0.1 (59),-1.5 (25),-1.6,15,-0.1,59,-1.5,25
Marcus Garrett,CHA,-1.2 (24),0.3 (36),-1.5 (24),-1.2,24,0.3,36,-1.5,24
Drew Timme,LAL,-1.2 (24),0.3 (35),-1.5 (24),-1.2,24,0.3,35,-1.5,24
Carter Bryant,SAS,-1.7 (12),-0.2 (62),-1.5 (24),-1.7,12,-0.2,62,-1.5,24
Quentin Grimes,PHI,-1.4 (20),0.2 (45),-1.6 (24),-1.4,20,0.2,45,-1.6,24
Zaccharie Risacher,ATL,-0.2 (63),1.4 (5),-1.6 (24),-0.2,63,1.4,5,-1.6,24
Kyle Lowry,PHI,-2.2 (7),-0.6 (81),-1.6 (24),-2.2,7,-0.6,81,-1.6,24
Johnny Davis,WAS,-1.2 (27),0.4 (34),-1.6 (23),-1.2,27,0.4,34,-1.6,23
Andrew Wiggins,MIA,-1.0 (35),0.6 (24),-1.6 (23),-1.0,35,0.6,24,-1.6,23
Chris Paul,LAC,-0.8 (41),0.8 (17),-1.6 (23),-0.8,41,0.8,17,-1.6,23
Bryce McGowens,NOP,-0.4 (56),1.2 (9),-1.6 (23),-0.4,56,1.2,9,-1.6,23
Dejounte Murray,NOP,-0.3 (60),1.3 (7),-1.6 (23),-0.3,60,1.3,7,-1.6,23
Jaden Ivey,DET,-0.5 (51),1.1 (10),-1.6 (23),-0.5,51,1.1,10,-1.6,23
Jett Howard,ORL,-0.8 (40),0.8 (16),-1.6 (23),-0.8,40,0.8,16,-1.6,23
Dennis Schröder,SAC,-1.0 (33),0.6 (23),-1.6 (22),-1.0,33,0.6,23,-1.6,22
Gradey Dick,TOR,-0.3 (60),1.3 (7),-1.6 (22),-0.3,60,1.3,7,-1.6,22
Cam Whitmore,WAS,-0.1 (66),1.5 (4),-1.6 (22),-0.1,66,1.5,4,-1.6,22
Orlando Robinson,ORL,-1.1 (29),0.5 (26),-1.6 (22),-1.1,29,0.5,26,-1.6,22
Kel'el Ware,MIA,-0.8 (39),0.8 (15),-1.6 (22),-0.8,39,0.8,15,-1.6,22
Jamison Battle,TOR,-1.2 (25),0.4 (31),-1.6 (22),-1.2,25,0.4,31,-1.6,22
Armel Traore,LAL,-1.2 (24),0.4 (30),-1.6 (21),-1.2,24,0.4,30,-1.6,21
Ben Saraf,BKN,-1.1 (27),0.5 (25),-1.6 (21),-1.1,27,0.5,25,-1.6,21
Keaton Wallace,ATL,-2.3 (5),-0.6 (79),-1.7 (21),-2.3,5,-0.6,79,-1.7,21
Stanley Umude,MIL,-1.7 (14),0.0 (56),-1.7 (21),-1.7,14,0.0,56,-1.7,21
Larry Nance Jr.,CLE,-2.0 (9),-0.3 (70),-1.7 (21),-2.0,9,-0.3,70,-1.7,21
Jeremy Sochan,SAS,-1.2 (26),0.5 (28),-1.7 (21),-1.2,26,0.5,28,-1.7,21
Emoni Bates,CLE,-1.0 (33),0.7 (19),-1.7 (21),-1.0,33,0.7,19,-1.7,21
GG Jackson,MEM,-0.3 (60),1.4 (6),-1.7 (20),-0.3,60,1.4,6,-1.7,20
Mo Bamba,TOR,-1.7 (13),-0.0 (54),-1.7 (20),-1.7,13,-0.0,54,-1.7,20
Colin Castleton,TOR,-1.8 (11),-0.1 (60),-1.7 (20),-1.8,11,-0.1,60,-1.7,20
Dalton Knecht,LAL,-0.7 (42),1.0 (12),-1.7 (20),-0.7,42,1.0,12,-1.7,20
Yang Hansen,POR,-1.7 (12),-0.0 (51),-1.7 (20),-1.7,12,-0.0,51,-1.7,20
Bilal Coulibaly,WAS,-1.1 (30),0.6 (24),-1.7 (20),-1.1,30,0.6,24,-1.7,20
Monté Morris,IND,-2.2 (6),-0.5 (76),-1.7 (19),-2.2,6,-0.5,76,-1.7,19
Marcus Bagley,PHI,-1.1 (27),0.6 (22),-1.7 (19),-1.1,27,0.6,22,-1.7,19
Onyeka Okongwu,ATL,-1.4 (19),0.4 (33),-1.8 (19),-1.4,19,0.4,33,-1.8,19
Jalen Hood-Schifino,PHI,-0.6 (46),1.2 (8),-1.8 (19),-0.6,46,1.2,8,-1.8,19
Mohamed Diawara,NYK,-1.2 (24),0.6 (22),-1.8 (19),-1.2,24,0.6,22,-1.8,19
Jerami Grant,POR,-1.1 (30),0.7 (21),-1.8 (19),-1.1,30,0.7,21,-1.8,19
Kelly Oubre Jr.,PHI,-1.0 (34),0.8 (17),-1.8 (19),-1.0,34,0.8,17,-1.8,19
Dalano Banton,POR,-0.9 (37),0.9 (14),-1.8 (18),-0.9,37,0.9,14,-1.8,18
Jared Butler,PHI,-1.1 (29),0.7 (20),-1.8 (18),-1.1,29,0.7,20,-1.8,18
Malachi Flynn,CHA,-1.0 (33),0.8 (16),-1.8 (18),-1.0,33,0.8,16,-1.8,18
Trevelin Queen,ORL,-1.5 (17),0.3 (37),-1.8 (18),-1.5,17,0.3,37,-1.8,18
Jeff Dowtin Jr.,PHI,-1.1 (28),0.7 (18),-1.8 (18),-1.1,28,0.7,18,-1.8,18
Kyshawn George,WAS,-1.1 (28),0.7 (18),-1.8 (18),-1.1,28,0.7,18,-1.8,18
Vlatko Čančar,DEN,-2.1 (8),-0.3 (68),-1.8 (17),-2.1,8,-0.3,68,-1.8,17
Nolan Traore,BKN,-1.0 (31),0.8 (14),-1.8 (17),-1.0,31,0.8,14,-1.8,17
Corey Kispert,ATL,-0.5 (52),1.4 (6),-1.9 (17),-0.5,52,1.4,6,-1.9,17
Jalen McDaniels,WAS,-1.5 (17),0.4 (32),-1.9 (17),-1.5,17,0.4,32,-1.9,17
JD Davison,HOU,-1.3 (21),0.6 (22),-1.9 (17),-1.3,21,0.6,22,-1.9,17
RayJ Dennis,ATL,-2.3 (4),-0.4 (72),-1.9 (17),-2.3,4,-0.4,72,-1.9,17
Trey Jemison III,NYK,-1.6 (16),0.3 (37),-1.9 (17),-1.6,16,0.3,37,-1.9,17
Tidjane Salaün,CHA,-2.2 (6),-0.3 (68),-1.9 (16),-2.2,6,-0.3,68,-1.9,16
AJ Johnson,WAS,-1.6 (15),0.3 (36),-1.9 (16),-1.6,15,0.3,36,-1.9,16
Pat Connaughton,CHA,-1.5 (18),0.5 (30),-2.0 (16),-1.5,18,0.5,30,-2.0,16
David Roddy,HOU,-1.3 (23),0.7 (21),-2.0 (16),-1.3,23,0.7,21,-2.0,16
Bruno Fernando,TOR,-1.5 (17),0.5 (27),-2.0 (16),-1.5,17,0.5,27,-2.0,16
DeAndre Jordan,NOP,-1.9 (10),0.1 (48),-2.0 (16),-1.9,10,0.1,48,-2.0,16
Johnny Juzang,MIN,-1.2 (26),0.8 (15),-2.0 (15),-1.2,26,0.8,15,-2.0,15
Reece Beekman,BKN,-1.9 (9),0.1 (47),-2.0 (15),-1.9,9,0.1,47,-2.0,15
Javonte Cooke,POR,-2.1 (7),-0.1 (58),-2.0 (15),-2.1,7,-0.1,58,-2.0,15
Kyle Anderson,UTA,-2.8 (2),-0.7 (82),-2.1 (15),-2.8,2,-0.7,82,-2.1,15
P.J. Tucker,NYK,-1.4 (20),0.7 (20),-2.1 (15),-1.4,20,0.7,20,-2.1,15
Kobe Bufkin,LAL,-2.3 (5),-0.2 (64),-2.1 (15),-2.3,5,-0.2,64,-2.1,15
Buddy Hield,GSW,-1.1 (30),1.0 (12),-2.1 (15),-1.1,30,1.0,12,-2.1,15
Jordan Poole,NOP,-1.3 (23),0.8 (18),-2.1 (14),-1.3,23,0.8,18,-2.1,14
Reggie Jackson,PHI,-1.9 (10),0.2 (44),-2.1 (14),-1.9,10,0.2,44,-2.1,14
Jordan Clarkson,NYK,-1.5 (18),0.6 (24),-2.1 (14),-1.5,18,0.6,24,-2.1,14
Shake Milton,LAL,-1.9 (10),0.2 (43),-2.1 (14),-1.9,10,0.2,43,-2.1,14
Duop Reath,POR,-1.0 (33),1.1 (10),-2.1 (14),-1.0,33,1.1,10,-2.1,14
Markieff Morris,LAL,-1.7 (13),0.4 (32),-2.1 (14),-1.7,13,0.4,32,-2.1,14
Rob Dillingham,MIN,-2.1 (7),0.0 (53),-2.1 (13),-2.1,7,0.0,53,-2.1,13
Isaac Jones,DET,-1.5 (17),0.6 (22),-2.1 (13),-1.5,17,0.6,22,-2.1,13
Ryan Kalkbrenner,CHA,-2.2 (6),-0.1 (58),-2.1 (13),-2.2,6,-0.1,58,-2.1,13
Bennedict Mathurin,IND,-1.3 (23),0.9 (14),-2.2 (13),-1.3,23,0.9,14,-2.2,13
Jaden Hardy,DAL,-1.7 (14),0.5 (29),-2.2 (13),-1.7,14,0.5,29,-2.2,13
Andre Jackson Jr.,MIL,-1.3 (22),0.9 (13),-2.2 (13),-1.3,22,0.9,13,-2.2,13
