Player,Team,Offense,Defense,Total,Offense_value,Offense_percentile,Defense(*)_value,Defense(*)_percentile,Total_value,Total_percentile
Quenton Jackson,IND,-0.6 (45),-1.1 (89),0.5 (77),-0.6,45,-1.1,89,0.5,77
Caris LeVert,DET,-0.1 (68),-0.6 (81),0.5 (77),-0.1,68,-0.6,81,0.5,77
Jrue Holiday,POR,-0.8 (40),-1.3 (94),0.5 (77),-0.8,40,-1.3,94,0.5,77
Kevin Huerter,CHI,0.4 (79),-0.1 (61),0.5 (76),0.4,79,-0.1,61,0.5,76
Nikola Jović,MIA,-0.4 (54),-0.9 (86),0.5 (76),-0.4,54,-0.9,86,0.5,76
Jared Rhoden,TOR,0.7 (85),0.2 (44),0.5 (76),0.7,85,0.2,44,0.5,76
Walker Kessler,UTA,-0.2 (64),-0.7 (81),0.5 (76),-0.2,64,-0.7,81,0.5,76
Wendell Carter Jr.,ORL,-0.7 (43),-1.1 (90),0.4 (76),-0.7,43,-1.1,90,0.4,76
Mikal Bridges,NYK,-0.5 (52),-0.9 (87),0.4 (76),-0.5,52,-0.9,87,0.4,76
Marvin Bagley III,WAS,0.2 (75),-0.2 (66),0.4 (76),0.2,75,-0.2,66,0.4,76
Nickeil Alexander-Walker,ATL,0.2 (74),-0.2 (65),0.4 (75),0.2,74,-0.2,65,0.4,75
De'Andre Hunter,CLE,1.3 (91),0.9 (13),0.4 (75),1.3,91,0.9,13,0.4,75
Julian Phillips,CHI,-0.1 (67),-0.5 (77),0.4 (75),-0.1,67,-0.5,77,0.4,75
Pelle Larsson,MIA,0.4 (78),-0.0 (54),0.4 (75),0.4,78,-0.0,54,0.4,75
Jamal Shead,TOR,0.1 (71),-0.3 (68),0.4 (75),0.1,71,-0.3,68,0.4,75
Jaylon Tyson,CLE,0.4 (78),0.0 (53),0.4 (75),0.4,78,0.0,53,0.4,75
Svi Mykhailiuk,UTA,0.6 (83),0.2 (43),0.4 (74),0.6,83,0.2,43,0.4,74
Sion James,CHA,-0.2 (62),-0.6 (78),0.4 (74),-0.2,62,-0.6,78,0.4,74
Kevin Love,UTA,1.5 (92),1.1 (10),0.4 (74),1.5,92,1.1,10,0.4,74
Tyler Herro,MIA,1.0 (89),0.7 (21),0.3 (74),1.0,89,0.7,21,0.3,74
Moses Moody,GSW,-0.6 (48),-0.9 (87),0.3 (74),-0.6,48,-0.9,87,0.3,74
Jusuf Nurkić,UTA,-1.0 (34),-1.3 (93),0.3 (74),-1.0,34,-1.3,93,0.3,74
T.J. McConnell,IND,0.2 (74),-0.1 (61),0.3 (73),0.2,74,-0.1,61,0.3,73
RJ Barrett,TOR,1.0 (88),0.7 (19),0.3 (73),1.0,88,0.7,19,0.3,73
Patrick Baldwin Jr.,LAC,0.1 (71),-0.2 (64),0.3 (73),0.1,71,-0.2,64,0.3,73
Lonzo Ball,CLE,-1.2 (25),-1.5 (95),0.3 (73),-1.2,25,-1.5,95,0.3,73
Liam McNeeley,CHA,-0.1 (66),-0.4 (72),0.3 (73),-0.1,66,-0.4,72,0.3,73
Josh Hart,NYK,0.3 (78),-0.0 (57),0.3 (73),0.3,78,-0.0,57,0.3,73
Danté Exum,DAL,0.0 (70),-0.3 (71),0.3 (73),0.0,70,-0.3,71,0.3,73
Adama Sanogo,CHI,0.3 (77),-0.0 (54),0.3 (72),0.3,77,-0.0,54,0.3,72
Kam Jones,IND,0.3 (76),0.0 (51),0.3 (72),0.3,76,0.0,51,0.3,72
Keon Ellis,SAC,-0.4 (55),-0.7 (82),0.3 (72),-0.4,55,-0.7,82,0.3,72
Jalen Pickett,DEN,-0.6 (47),-0.8 (83),0.2 (72),-0.6,47,-0.8,83,0.2,72
