Rank,Player,Team,AGE,RAPM_offense,RAPM_defense,USG_percent,PLUS_MINUS_value,Attendance,Performance,Athletic_Score,Salary
93,Isaiah Joe,OKC,25,0.7,-0.2,0.166,550,90.24,14.72972973,0.556664313,2164993
94,De'Andre Hunter,CLE,27,1.3,0.9,0.221,88,78.05,22.171875,0.555577948,21696429
95,Scotty Pippen Jr.,MEM,24,-0.7,-0.5,0.188,44,96.34,17.46835443,0.555458382,2270735
96,Brandin Podziemski,GSW,22,0.4,-2.1,0.177,261,78.05,20.296875,0.555124908,3687960
97,Bennedict Mathurin,IND,23,-1.3,0.9,0.222,94,87.8,22.375,0.55456723,9187573
98,T.J. McConnell,IND,33,0.2,-0.1,0.226,-56,96.34,15.93670886,0.554535318,10200000
99,CJ McCollum,ATL,33,1.2,1.4,0.266,-279,68.29,28.32142857,0.551935088,33333333
100,Draymond Green,GSW,35,-1.2,-2,0.157,275,82.93,20.66176471,0.548789956,25892857
101,Dillon Brooks,PHX,29,-1.7,-0.4,0.176,207,91.46,19.41333333,0.547525076,21124110
102,Russell Westbrook,SAC,36,-1.9,2.2,0.23,-24,91.46,22.96,0.547500167,3634153
103,Buddy Hield,GSW,32,-1.1,1,0.196,141,100,15.98780488,0.546698308,9219512
104,Dennis Schröder,SAC,31,-1,0.6,0.211,-72,91.46,20.24,0.545735592,13025250
105,Naji Marshall,DAL,27,0.2,-0.8,0.197,-137,84.15,20.56521739,0.54521035,9000000
106,Jordan Poole,NOP,26,-1.3,0.8,0.281,-558,82.93,26.55882353,0.544847034,31848215
107,Keldon Johnson,SAS,25,-0.5,0.6,0.207,-217,93.9,19.07792208,0.542684627,17500000
108,Quentin Grimes,PHI,25,-1.4,0.2,0.218,-261,91.46,21.32,0.542210694,8741209
109,Luguentz Dort,OKC,26,-0.3,-0.2,0.133,547,86.59,16.81690141,0.541305785,17722222
110,Santi Aldama,MEM,24,0.4,1.1,0.179,149,79.27,21.92307692,0.540354264,18485916
111,Jakob Poeltl,TOR,29,-0.4,-0.4,0.184,-37,69.51,27.28070175,0.540003347,19500000
112,Zion Williamson,NOP,24,1,0.3,0.325,-42,36.59,36.2,0.539723398,39446090
113,Collin Sexton,CHA,26,0.7,1.2,0.264,-286,76.83,23.6031746,0.539440964,18975000
114,Kevin Porter Jr.,MIL,25,-1.4,-0.6,0.248,27,91.46,16.84,0.538103464,5134000
115,Luke Kornet,SAS,29,0.5,-1.5,0.111,401,89.02,14,0.536857046,11000000
116,Spencer Dinwiddie,DAL,32,-0.2,1.1,0.175,-222,96.34,17.91139241,0.53584733,3000000
117,Tyus Jones,ORL,29,-1.1,1.2,0.16,-92,98.78,17.77777778,0.534647144,7000000
118,Georges Niang,ATL,32,-0.1,1.2,0.177,194,96.34,14.26582278,0.533945168,8500000
119,Goga Bitadze,ORL,25,1,-0.7,0.142,80,85.37,16.81428571,0.533786218,8333333
120,Derrick Jones Jr.,LAC,28,-0.8,-0.3,0.16,249,93.9,14.93506494,0.53355501,10000000
121,Devin Vassell,SAS,24,0.2,0.8,0.217,-262,78.05,23.5625,0.532304573,27000000
122,Tari Eason,HOU,24,1.1,-0.9,0.185,145,69.51,21.28070175,0.530771133,5675766
123,Caris LeVert,DET,30,-0.1,-0.6,0.191,258,78.05,18.875,0.529933469,14104000
124,Miles McBride,NYK,24,2.1,-0.9,0.162,211,78.05,15.65625,0.529482493,4333333
125,Lauri Markkanen,UTA,28,2.1,-0.8,0.231,-186,57.32,26.04255319,0.529004812,46394100
126,Keon Ellis,SAC,25,-0.4,-0.7,0.125,64,97.56,13.8875,0.52892625,2120693
127,Andrew Wiggins,MIA,30,-1,0.6,0.238,-100,73.17,25.26666667,0.528415062,28223215
128,Guerschon Yabusele,NYK,29,0.9,0.9,0.163,-118,85.37,18.65714286,0.526379333,5500000
129,Duncan Robinson,DET,31,0.2,0.5,0.187,66,90.24,15.13513514,0.525254161,16834692
130,Zaccharie Risacher,ATL,20,-0.2,1.4,0.203,-121,91.46,17.32,0.525163355,13197720
131,Sam Hauser,BOS,27,1.5,0.1,0.14,325,86.59,13.01408451,0.524197526,10044644
132,Davion Mitchell,MIA,26,0.5,-1.1,0.135,-3,90.24,14.56756757,0.523819563,11600000
133,Ronald Holland II,DET,19,-0.2,-2.3,0.177,-55,98.78,10.07407407,0.523519734,6500000
134,Scoot Henderson,POR,21,0.6,1.4,0.22,-38,80.49,19.3030303,0.523242788,10748040
135,Anthony Black,ORL,21,-1.3,-0.2,0.19,-40,95.12,15.3974359,0.523136317,7970280
136,Jrue Holiday,POR,35,-0.8,-1.3,0.156,339,75.61,19.4516129,0.520985051,32400000
137,Tim Hardaway Jr.,DEN,33,0.2,1.3,0.151,25,93.9,14.8961039,0.519903572,3634153
138,Cason Wallace,OKC,21,-0.4,-1.5,0.124,369,82.93,15.67647059,0.519250938,5820240
139,Moses Moody,GSW,23,-0.6,-0.9,0.17,132,90.24,14.12162162,0.519119219,11574075
140,Kristaps Porziņģis,ATL,29,-0.6,-0.3,0.253,173,51.22,29.28571429,0.518950324,30731707
141,D'Angelo Russell,DAL,29,0.5,-1,0.228,0,70.73,20.03448276,0.518888997,5685000
142,Keyonte George,UTA,21,0.1,3.3,0.237,-512,81.71,24.28358209,0.518412866,4278960
143,Klay Thompson,DAL,35,-1.9,0.4,0.214,-79,87.8,19.27777778,0.518109468,16666667
144,P.J. Washington,DAL,26,-1.4,-0.5,0.198,49,69.51,24.80701754,0.518075552,14152174
145,Wendell Carter Jr.,ORL,26,-0.7,-1.1,0.159,-13,82.93,18.52941176,0.517942639,10850000
146,Trey Murphy III,NOP,25,-0.9,0.5,0.229,-384,64.63,29.66037736,0.517894633,25000000
147,Daniel Gafford,DAL,26,0.5,-0.7,0.186,35,69.51,21.54385965,0.517697957,14386320
148,Matas Buzelis,CHI,20,-1.1,-0.1,0.181,-35,97.56,13.4375,0.517253581,5455560
149,Walker Kessler,UTA,23,-0.2,-0.7,0.133,-329,70.73,26.43103448,0.517223754,4878938
150,Rui Hachimura,LAL,27,0.7,-0.5,0.156,158,71.95,19.91525424,0.516000787,18259259
151,Mike Conley,MIN,37,-0.3,0.1,0.141,265,86.59,15.50704225,0.515874586,10774038
152,Kevin Huerter,CHI,26,0.4,-0.1,0.171,104,84.15,15.42028986,0.514811638,17991071
153,AJ Green,MIL,25,0.8,-1.5,0.123,227,89.02,11.32876712,0.514575145,2301587
154,Max Christie,DAL,22,-0.5,0.5,0.15,-83,95.12,14.87179487,0.514574354,7714286
155,Al Horford,GSW,39,0.4,-0.9,0.136,397,73.17,17.93333333,0.514498972,5685000
156,Donte DiVincenzo,MIN,28,0.1,0.2,0.188,174,75.61,18.82258065,0.513433412,11990000
157,Kris Dunn,LAC,31,-0.4,-0.3,0.126,262,90.24,13.72972973,0.51342682,5426400
158,Jalen Johnson,ATL,23,-1.1,-1.1,0.214,55,43.9,33.5,0.512216343,30000000
159,Jabari Smith Jr.,HOU,22,0.2,-0.6,0.16,250,69.51,20.38596491,0.512054432,12350392
160,Taurean Prince,MIL,31,-0.6,0.7,0.123,-22,97.56,13.8375,0.510414482,3303774
161,John Collins,LAC,27,0.9,-0.1,0.234,-16,48.78,28.525,0.509721065,26580000
162,Aaron Gordon,DEN,29,-0.5,-1.9,0.186,301,62.2,22.01960784,0.509671667,22841455
163,Jalen Smith,CHI,25,2,0.3,0.201,-36,78.05,15.15625,0.509277481,9000000
164,Royce O'Neale,PHX,32,-0.9,0,0.151,-155,91.46,16.36,0.508773657,10125000
165,Keon Johnson,BKN,23,-1.5,0.7,0.212,-423,96.34,16.5443038,0.508650991,2165000
166,Kevon Looney,NOP,29,-0.4,-0.6,0.125,117,92.68,12.73684211,0.508069189,8000000
167,Brandon Clarke,MEM,28,0.9,-0.9,0.15,181,78.05,15.203125,0.507328582,12500000
168,Dorian Finney-Smith,HOU,32,1,-1.6,0.123,309,76.83,14.46031746,0.506991963,12700000
169,Andrew Nembhard,IND,25,-0.9,-0.1,0.163,204,79.27,18.04615385,0.505905548,18102000
170,Kenrich Williams,OKC,30,0.9,-0.6,0.151,329,84.15,11.42028986,0.505500533,7163000
171,Sam Merrill,CLE,29,0,-1.3,0.14,321,86.59,11.35211268,0.503967145,8482144
172,Donovan Clingan,POR,21,0,-0.8,0.135,-2,81.71,16.59701493,0.503427624,7178400
173,Jalen Wilson,BKN,24,-0.6,0.8,0.161,-262,96.34,14.30379747,0.503010812,2221677
174,Kyle Filipowski,UTA,21,-0.1,0.8,0.184,-366,87.8,17.19444444,0.501964506,9219512
175,Gary Trent Jr.,MIL,26,-0.1,2.8,0.168,70,90.24,15.04054054,0.500194707,3697105
176,Bobby Portis,MIL,30,-0.3,0.7,0.234,95,59.76,24.46938776,0.499801134,13445754
177,Ausar Thompson,DET,22,-0.2,-1.1,0.185,67,71.95,18.45762712,0.499283163,8775000
178,Dalton Knecht,LAL,24,-0.7,1,0.181,-73,95.12,12.6025641,0.498595018,4010160
179,Kelly Oubre Jr.,PHI,29,-1,0.8,0.186,-258,73.17,23.73333333,0.49797033,8382150
180,Jaime Jaquez Jr.,MIA,24,0.5,-0.5,0.194,-152,80.49,15.1969697,0.496511494,3861600
181,Mason Plumlee,CHA,35,0.6,0.7,0.105,54,90.24,12.74324324,0.496334762,3634153
182,Jamal Shead,TOR,22,0.1,-0.3,0.179,-234,91.46,12.2,0.495279,1955377
183,Chet Holmgren,OKC,23,1.3,-1.9,0.214,294,39.02,26.15625,0.495176964,13731368
184,Cameron Payne,NYK,30,-0.7,-0.3,0.2,204,87.8,11.25,0.495167106,3000000
185,Isaiah Stewart,DET,24,-0.5,-0.6,0.121,9,87.8,14.13888889,0.495053457,15000000
186,Joel Embiid,PHI,31,0.5,-0.9,0.342,-57,23.17,34.84210526,0.494163693,55224526
187,Kel'el Ware,MIA,21,-0.8,0.8,0.169,39,78.05,18.453125,0.491557445,4443360
188,Cole Anthony,MIL,25,-1.2,-0.2,0.238,-16,81.71,14.91044776,0.490045797,2667947
189,Kentavious Caldwell-Pope,MEM,32,-2.3,-0.8,0.121,11,93.9,13.62337662,0.489026849,21621500
190,Yves Missi,NOP,21,-1.2,1.2,0.141,-514,89.02,19.42465753,0.488461259,3353040
191,Luke Kennard,ATL,29,0.9,1.1,0.14,122,79.27,14.72307692,0.487544821,11000000
192,Mark Williams,PHX,23,-0.5,-0.1,0.21,-301,53.66,28.22727273,0.484903499,6276531
193,Paul George,PHI,35,-0.1,-1.1,0.233,-83,50,25.63414634,0.484261329,51666090
194,Haywood Highsmith,MIA,28,-0.9,-0.6,0.111,61,90.24,12.06756757,0.483968435,2500000
195,Julian Phillips,CHI,21,-0.1,-0.5,0.126,30,96.34,7.658227848,0.482104397,2221677
196,Grayson Allen,PHX,29,0.5,0.9,0.169,-79,78.05,15.765625,0.481887939,16875000
197,Nicolas Batum,LAC,36,-0.3,-0.5,0.087,152,95.12,8.576923077,0.48182762,5601600
198,Jake LaRavia,LAL,23,0.9,1.1,0.14,126,80.49,13.24242424,0.481115085,6000000
199,Ryan Dunn,PHX,22,-0.7,-0.4,0.161,-169,90.24,11.87837838,0.480216973,2657760
200,Jonathan Kuminga,GSW,22,-0.4,0,0.271,8,57.32,21.87234043,0.480153481,22500000
