Rank,Player,Team,AGE,RAPM_offense,RAPM_defense,USG_percent,PLUS_MINUS_value,Attendance,Performance,Athletic_Score,Salary
536,Jack McVeigh,HOU,29,-1.6,-0.2,0.176,-10,10.98,2.222222222,0.168496706,4041228.5
537,Ulrich Chomche,TOR,19,0.2,0.5,0.108,-24,8.54,2,0.163663988,4041228.5
538,Jae Crowder,SAC,34,-2.5,0.5,0.113,-18,10.98,5.333333333,0.161700679,4041228.5
539,Braxton Key,GSW,28,-0.8,0,0.222,-8,3.66,2,0.161651507,4041228.5
540,Jahmir Young,MIA,24,-0.2,0.5,0.092,-7,7.32,3.166666667,0.161065926,4041228.5
541,PJ Dozier,MIN,28,-0.7,0,0.082,-4,10.98,1.888888889,0.159106259,4041228.5
542,Yuri Collins,GSW,24,-0.4,0.1,0.068,-5,2.44,5.5,0.158698586,4041228.5
543,Quincy Olivari,LAL,24,-0.6,0.3,0.231,-18,2.44,1.5,0.15577147,4041228.5
544,Skal Labissiere,SAC,29,-0.6,0.2,0.129,-1,4.88,2.25,0.151495742,4041228.5
545,D.J. Carton,TOR,24,-0.5,0.1,0.122,12,4.88,2,0.151187712,4041228.5
546,Kevin McCullar Jr.,NYK,24,-1.7,0.6,0.118,-2,4.88,4.5,0.14831324,4041228.5
547,P.J. Tucker,NYK,40,-1.4,0.7,0.059,-22,3.66,6,0.146220812,4041228.5
548,Isaiah Stevens,MIA,24,-0.5,-0.1,0.143,4,3.66,1,0.14535917,4041228.5
549,Zyon Pullin,MEM,24,-0.3,0.1,0.167,1,3.66,0,0.143593407,4041228.5
550,Terry Taylor,SAC,25,-0.3,-0.4,0.067,9,3.66,1,0.136493135,3218760
551,Malevy Leons,GSW,25,-1.1,0.3,0.102,-18,7.32,0.833333333,0.136091129,3218760
552,Terence Davis,SAC,28,-0.6,0.1,0.111,-3,1.22,2,0.135886459,3218760
553,Riley Minix,SAS,24,-0.1,0,0.063,0,1.22,2,0.13431608,3218760
554,Mac McClung,IND,26,-0.7,0.4,0.087,-2,2.44,2,0.131753757,3218760
555,Hugo González,BOS,,2.5,-2,,,,,0.124468515,2783880
556,Jesse Edwards,MIN,25,-0.4,0.2,0,-10,2.44,0.5,0.110148043,3218760
557,Jimmy Butler,GSW,,2.1,-0.7,,,,,0.10961708,54126450
558,Jalen McDaniels,WAS,27,-1.5,0.4,0,-1,4.88,0.5,0.102727935,3218760
559,Moussa Diabate,CHA,,1.6,-0.5,,,,,0.101802459,2270735
560,Kon Knueppel,CHA,,2,0.3,,,,,0.100812272,10015680
561,Dylan Harper,SAS,,0.5,-1.5,,,,,0.095473117,12370320
562,Saddiq Bey,NOP,,2.1,1.2,,,,,0.095284185,6118644
563,VJ Edgecombe,PHI,,0.8,-0.6,,,,,0.092467389,11108880
564,Joan Beringer,MIN,,0.8,-0.5,,,,,0.091713026,4201080
565,David Jones Garcia,SAS,,0.7,-0.3,,,,,0.088943121,3218760
566,Kam Jones,IND,,0.3,0,,,,,0.081635315,1272870
567,Sion James,CHA,,-0.2,-0.6,,,,,0.079855597,2296274
568,Liam McNeeley,CHA,,-0.1,-0.4,,,,,0.07960805,2763960
569,Asa Newell,ATL,,0.1,0,,,,,0.079112957,3237480
570,Cui Yongxi,BKN,,0,0,,,,,0.077851778,3218760
571,Dylan Cardwell,SAC,,-0.3,-0.5,,,,,0.077840055,3218760
571,Myron Gardner,MIA,,-0.3,-0.5,,,,,0.077840055,3218760
573,Ryan Nembhard,DAL,,0.2,0.4,,,,,0.077356684,3218760
574,Yanic Konan Niederhäuser,LAC,,0,0.1,,,,,0.077097415,2743800
574,Mark Sears,MIL,,0,0.1,,,,,0.077097415,3218760
576,Cody Zeller,ATL,,-0.3,-0.2,,,,,0.075576966,3218760
577,Pacome Dadiet,NYK,,0,0.4,,,,,0.074834326,2847600
578,Egor Dëmin,BKN,,-0.8,-0.9,,,,,0.074551611,6889200
579,Kasparas Jakučionis,MIA,,0.1,0.7,,,,,0.073832416,3658800
580,Chaz Lanier,DET,,-0.2,0.2,,,,,0.073820694,1272870
581,Curtis Jones,DEN,,-0.4,-0.1,,,,,0.073561424,3218760
582,Vladislav Goldin,MIA,,-0.3,0.1,,,,,0.073313877,3218760
583,Chris Mañon,LAL,,-0.4,0,,,,,0.072807061,3218760
583,LJ Cryer,GSW,,-0.4,0,,,,,0.072807061,3218760
585,Seth Lundy,ATL,,-0.3,0.2,,,,,0.072559515,3218760
586,Isaiah Livers,PHX,,-0.2,0.4,,,,,0.072311968,3218760
586,Adou Thiero,LAL,,-0.2,0.4,,,,,0.072311968,1272870
588,Kobe Sanders,LAC,,-0.3,0.3,,,,,0.071805152,3218760
589,Ethan Thompson,IND,,-0.4,0.2,,,,,0.071298335,3218760
589,Noah Penda,ORL,,-0.4,0.2,,,,,0.071298335,1272870
591,DaRon Holmes II,DEN,,-0.3,0.4,,,,,0.071050789,3218760
591,Javon Small,MEM,,-0.3,0.4,,,,,0.071050789,3218760
593,Collin Murray-Boyles,TOR,,-1.1,-0.9,,,,,0.070768074,6332520
594,Walter Clayton Jr.,UTA,,0.3,1.5,,,,,0.070319871,3991320
595,Koby Brea,PHX,,-0.6,0.2,,,,,0.068775977,3218760
596,Chris Youngblood,OKC,,-0.8,-0.1,,,,,0.068516708,3218760
596,Moussa Cisse,DAL,,-0.8,-0.1,,,,,0.068516708,3218760
598,Jase Richardson,ORL,,-0.5,0.5,,,,,0.067774067,2983320
599,Hunter Dickinson,NOP,,-0.7,0.2,,,,,0.067514798,3218760
600,Sharife Cooper,WAS,,-0.8,0.1,,,,,0.067007982,3240180
601,Jamir Watkins,WAS,,-1.2,-0.5,,,,,0.066489443,3240180
602,Jahmyl Telfort,LAC,,-1,-0.1,,,,,0.065994349,3240180
603,Will Richard,GSW,,-1.3,-0.6,,,,,0.065982627,1272870
604,Tre Johnson,WAS,,-0.5,0.8,,,,,0.065510979,8237640
605,Nique Clifford,SAC,,-0.8,0.3,,,,,0.065499256,3108120
605,Alijah Martin,TOR,,-0.8,0.3,,,,,0.065499256,3240180
607,Thanasis Antetokounmpo,MIL,,-1.1,-0.2,,,,,0.065487533,2874436
608,Micah Peavy,NOP,,-1,0,,,,,0.065239986,1272870
609,Cedric Coward,MEM,,-1.7,-1.1,,,,,0.064709725,5715120
610,Khaman Maluach,PHX,,-1,0.1,,,,,0.064485623,6016080
611,Noa Essengue,CHI,,-0.9,0.3,,,,,0.064238077,5429520
612,Chucky Hepburn,TOR,,-1,0.2,,,,,0.063731261,3240180
612,Hunter Sallis,PHI,,-1,0.2,,,,,0.063731261,3240180
614,Rasheer Fleming,PHX,,-1.2,-0.1,,,,,0.063471991,1272870
615,Brandon Boston Jr.,NOP,,-0.7,0.8,,,,,0.06298862,3240180
616,Caleb Love,POR,,-1,0.3,,,,,0.062976898,3240180
617,Johni Broome,PHI,,-1.1,0.2,,,,,0.062470081,1272870
618,Christian Wood,LAL,,-1.4,-0.3,,,,,0.062458359,3240180
619,Lachlan Olbrich,CHI,,-1.3,-0.1,,,,,0.062210812,3240180
620,Jahmai Mashack,MEM,,-1.2,0.1,,,,,0.061963265,3240180
621,Taelon Peter,IND,,-1.4,-0.2,,,,,0.061703996,3240180
622,Miles Kelly,DAL,,-1.3,0,,,,,0.061456449,3240180
623,Alexandre Sarr,WAS,,-1.2,0.2,,,,,0.061208902,3240180
624,Ben Saraf,BKN,,-1.1,0.5,,,,,0.060206993,2884560
625,Nolan Traore,BKN,,-1,0.8,,,,,0.059205083,3811560
626,Mohamed Diawara,NYK,,-1.2,0.6,,,,,0.058191451,1272870
627,Vasilije Micić,PHX,,-1.7,-0.2,,,,,0.057920458,3240180
627,Carter Bryant,SAS,,-1.7,-0.2,,,,,0.057920458,4900320
629,Derik Queen,NOP,,-0.3,2.2,,,,,0.057472256,5157960
630,Yang Hansen,POR,,-1.7,0,,,,,0.056411732,4422360
631,Monté Morris,IND,,-2.2,-0.5,,,,,0.053877651,3240180
632,Javonte Cooke,POR,,-2.1,-0.1,,,,,0.052121379,3240180
633,Ryan Kalkbrenner,CHA,,-2.2,-0.1,,,,,0.0508602,2296274
634,Ace Bailey,UTA,,-0.9,2.1,,,,,0.050659544,9069840
635,Tyrese Proctor,CLE,,-1.7,0.8,,,,,0.050376829,1272870
636,Amari Williams,BOS,,-2.1,0.2,,,,,0.04985829,3240180
637,Cooper Flagg,DAL,,-2.5,0,,,,,0.046322299,13825920
638,Danny Wolf,BKN,,-2.9,-0.5,,,,,0.045049397,2801280
639,Bojan Bogdanović,BKN,,-2,1.4,,,,,0.042067114,3240180
640,Brooks Barnhizer,OKC,,-2.8,0.5,,,,,0.038766947,3240180
641,Nigel Hayes-Davis,PHX,,-2.9,0.5,,,,,0.037505768,2048494
642,Drake Powell,BKN,,-2.8,0.8,,,,,0.036503858,3372240
643,Maxime Raynaud,SAC,,-2.4,1.5,,,,,0.036268034,1272870
644,Jeremiah Fears,NOP,,-2.2,2.5,,,,,0.031246763,7520040
645,Will Riley,WAS,,-3.5,1,,,,,0.026166879,3512520
646,Carlton Carrington,WAS,,-2.7,2.5,,,,,0.024940868,3240180
