Player,Team,AGE,Athletic_Score,final_commercial_score,potential
Zach LaVine,SAC,30.0,0.6243608174251204,0.0,0.992221356
Tyrese Maxey,PHI,24.0,0.6222151597380052,0.923309293,0.999893768
Kyrie Irving,DAL,33.0,0.6166659700187123,0.0,0.988061829
Jalen Duren,DET,21.0,0.6147642875125551,0.132446839,1.003680877
Rudy Gobert,MIN,33.0,0.6139829762831596,0.0,0.988061829
Norman Powell,MIA,32.0,0.6134024707789625,0.286472403,0.989487603
LaMelo Ball,CHA,23.0,0.6130233666246075,0.257557099,1.001148618
Myles Turner,MIL,29.0,0.6099469816563203,0.000657289,0.99354172
Aaron Wiggins,OKC,26.0,0.6095191288905449,0.0,0.997382867
Malik Beasley,DET,28.0,0.608869899976666,0.0,0.994838627
Jaden McDaniels,MIN,24.0,0.6056612200735849,0.0,0.999893768
Josh Giddey,CHI,22.0,0.6052527685717277,0.168277772,1.002409382
Ja Morant,MEM,25.0,0.5933874225837231,0.0,0.998640092
RJ Barrett,TOR,25.0,0.5916051281184582,0.016598701,0.998640092
Ty Jerome,CLE,27.0,0.5875593166126298,0.0,0.996117333
Stephon Castle,SAS,20.0,0.5868075067910854,0.0,1.004968062
Miles Bridges,CHA,27.0,0.5863449350281497,0.011123349,0.996117333
Tobias Harris,DET,32.0,0.582945596398478,0.00459806,0.989487603
Shaedon Sharpe,POR,22.0,0.5825819058482818,0.0,1.002409382
Paolo Banchero,ORL,22.0,0.5822978977752382,0.128969555,1.002409382
Brook Lopez,LAC,37.0,0.5820925986673201,0.0,0.981792453
Malik Monk,SAC,27.0,0.5815760709681248,0.0,0.996117333
Isaiah Hartenstein,OKC,27.0,0.5761049145898818,0.0,0.996117333
Jonas Valančiūnas,DEN,33.0,0.5739520013262238,0.0,0.988061829
Harrison Barnes,SAS,33.0,0.5724672782770965,0.0,0.988061829
Onyeka Okongwu,ATL,24.0,0.5715169208152951,0.004241966,0.999893768
Julian Champagnie,SAS,24.0,0.5709710057430755,0.0,0.999893768
Fred VanVleet,HOU,31.0,0.5670074725956761,0.0,0.990871967
Nickeil Alexander-Walker,ATL,26.0,0.5661417535581936,0.101506157,0.997382867
Jaylen Wells,MEM,21.0,0.5659333457234113,0.0,1.003680877
Anfernee Simons,BOS,26.0,0.5652535345067382,0.023473412,0.997382867
Zach Edey,MEM,23.0,0.5647405090586199,0.0,1.001148618
Keegan Murray,SAC,24.0,0.5639883410233294,0.0,0.999893768
Obi Toppin,IND,27.0,0.563930593251974,2.41e-05,0.996117333
Toumani Camara,POR,25.0,0.5630138653223246,0.0,0.998640092
Kawhi Leonard,LAC,34.0,0.5612913858470954,0.0,0.98658762
Chris Paul,LAC,40.0,0.5601002590331787,0.0,0.976219711
Cameron Johnson,DEN,29.0,0.5574095922160026,0.0,0.99354172
Isaiah Joe,OKC,25.0,0.556664312723745,0.0,0.998640092
De'Andre Hunter,CLE,27.0,0.5555779478499479,0.000306527,0.996117333
Scotty Pippen Jr.,MEM,24.0,0.5554583815993843,0.0,0.999893768
Brandin Podziemski,GSW,22.0,0.5551249084006218,0.0,1.002409382
Bennedict Mathurin,IND,23.0,0.5545672297672346,0.015322311,1.001148618
T.J. McConnell,IND,33.0,0.5545353184375026,0.003070517,0.988061829
CJ McCollum,ATL,33.0,0.5519350884702485,0.017047303,0.988061829
Draymond Green,GSW,35.0,0.5487899562724476,0.0,0.985057235
Dillon Brooks,PHX,29.0,0.5475250755767782,0.0,0.99354172
Russell Westbrook,SAC,36.0,0.5475001665420575,0.0,0.983462065
Buddy Hield,GSW,32.0,0.5466983081338235,0.0,0.989487603
Dennis Schröder,SAC,31.0,0.5457355920072834,0.0,0.990871967
Naji Marshall,DAL,27.0,0.5452103501809271,0.0,0.996117333
