Rank,Player,Team,AGE,RAPM_offense,RAPM_defense,USG_percent,PLUS_MINUS_value,Attendance,Performance,Athletic_Score
83,Nickeil Alexander-Walker,ATL,26.0,0.2,-0.2,0.155,270.0,100.0,15.195121951219512,0.5661417535581936
84,Jaylen Wells,MEM,21.0,1.9,0.7,0.156,186.0,96.34,15.30379746835443,0.5659333457234113
85,Anfernee Simons,BOS,26.0,-0.6,0.9,0.241,-220.0,85.37,25.65714285714286,0.5652535345067382
86,Zach Edey,MEM,23.0,2.3,-1.6,0.156,164.0,80.49,19.03030303030303,0.5647405090586199
87,Keegan Murray,SAC,24.0,-1.0,-0.9,0.148,46.0,92.68,21.42105263157895,0.5639883410233294
88,Obi Toppin,IND,27.0,1.9,0.8,0.191,-77.0,96.34,16.265822784810126,0.563930593251974
89,Toumani Camara,POR,25.0,-0.2,-1.0,0.143,-114.0,95.12,20.05128205128205,0.5630138653223246
90,Kawhi Leonard,LAC,34.0,2.0,-1.2,0.28,296.0,45.12,30.67567567567568,0.5612913858470954
91,Chris Paul,LAC,40.0,-0.8,0.8,0.137,4.0,100.0,19.75609756097561,0.5601002590331787
92,Cameron Johnson,DEN,29.0,2.1,0.2,0.224,-200.0,69.51,26.140350877192983,0.5574095922160026
93,Isaiah Joe,OKC,25.0,0.7,-0.2,0.166,550.0,90.24,14.72972972972973,0.556664312723745
94,De'Andre Hunter,CLE,27.0,1.3,0.9,0.221,88.0,78.05,22.171875,0.5555779478499479
95,Scotty Pippen Jr.,MEM,24.0,-0.7,-0.5,0.188,44.0,96.34,17.468354430379748,0.5554583815993843
96,Brandin Podziemski,GSW,22.0,0.4,-2.1,0.177,261.0,78.05,20.296875,0.5551249084006218
97,Bennedict Mathurin,IND,23.0,-1.3,0.9,0.222,94.0,87.8,22.375,0.5545672297672346
98,T.J. McConnell,IND,33.0,0.2,-0.1,0.226,-56.0,96.34,15.936708860759492,0.5545353184375026
99,CJ McCollum,ATL,33.0,1.2,1.4,0.266,-279.0,68.29,28.321428571428573,0.5519350884702485
100,Draymond Green,GSW,35.0,-1.2,-2.0,0.157,275.0,82.93,20.66176470588235,0.5487899562724476
101,Dillon Brooks,PHX,29.0,-1.7,-0.4,0.176,207.0,91.46,19.41333333333333,0.5475250755767782
102,Russell Westbrook,SAC,36.0,-1.9,2.2,0.23,-24.0,91.46,22.96,0.5475001665420575
103,Buddy Hield,GSW,32.0,-1.1,1.0,0.196,141.0,100.0,15.98780487804878,0.5466983081338235
104,Dennis Schröder,SAC,31.0,-1.0,0.6,0.211,-72.0,91.46,20.24,0.5457355920072834
105,Naji Marshall,DAL,27.0,0.2,-0.8,0.197,-137.0,84.15,20.565217391304348,0.5452103501809271
106,Jordan Poole,NOP,26.0,-1.3,0.8,0.281,-558.0,82.93,26.558823529411764,0.5448470342492293
107,Keldon Johnson,SAS,25.0,-0.5,0.6,0.207,-217.0,93.9,19.07792207792208,0.5426846268922672
108,Quentin Grimes,PHI,25.0,-1.4,0.2,0.218,-261.0,91.46,21.32,0.5422106937176656
109,Luguentz Dort,OKC,26.0,-0.3,-0.2,0.133,547.0,86.59,16.816901408450704,0.5413057845788752
110,Santi Aldama,MEM,24.0,0.4,1.1,0.179,149.0,79.27,21.923076923076923,0.5403542635886844
111,Jakob Poeltl,TOR,29.0,-0.4,-0.4,0.184,-37.0,69.51,27.28070175438597,0.5400033470392298
112,Zion Williamson,NOP,24.0,1.0,0.3,0.325,-42.0,36.59,36.2,0.5397233984228438
113,Collin Sexton,CHA,26.0,0.7,1.2,0.264,-286.0,76.83,23.603174603174605,0.5394409635199584
114,Kevin Porter Jr.,MIL,25.0,-1.4,-0.6,0.248,27.0,91.46,16.84,0.5381034638765935
115,Luke Kornet,SAS,29.0,0.5,-1.5,0.111,401.0,89.02,14.0,0.5368570459881016
116,Spencer Dinwiddie,DAL,32.0,-0.2,1.1,0.175,-222.0,96.34,17.911392405063292,0.5358473303870182
117,Tyus Jones,ORL,29.0,-1.1,1.2,0.16,-92.0,98.78,17.77777777777778,0.5346471438452175
118,Georges Niang,ATL,32.0,-0.1,1.2,0.177,194.0,96.34,14.265822784810126,0.5339451681116402
119,Goga Bitadze,ORL,25.0,1.0,-0.7,0.142,80.0,85.37,16.814285714285713,0.533786218195489
120,Derrick Jones Jr.,LAC,28.0,-0.8,-0.3,0.16,249.0,93.9,14.935064935064934,0.5335550099803857
121,Devin Vassell,SAS,24.0,0.2,0.8,0.217,-262.0,78.05,23.5625,0.5323045731927276
122,Tari Eason,HOU,24.0,1.1,-0.9,0.185,145.0,69.51,21.28070175438597,0.5307711331693387
123,Caris LeVert,DET,30.0,-0.1,-0.6,0.191,258.0,78.05,18.875,0.5299334686983582
124,Miles McBride,NYK,24.0,2.1,-0.9,0.162,211.0,78.05,15.65625,0.5294824931577777
125,Lauri Markkanen,UTA,28.0,2.1,-0.8,0.231,-186.0,57.32,26.04255319148936,0.5290048115809888
126,Keon Ellis,SAC,25.0,-0.4,-0.7,0.125,64.0,97.56,13.8875,0.5289262499100084
127,Andrew Wiggins,MIA,30.0,-1.0,0.6,0.238,-100.0,73.17,25.266666666666666,0.5284150615539918
128,Guerschon Yabusele,NYK,29.0,0.9,0.9,0.163,-118.0,85.37,18.65714285714286,0.5263793330724404
129,Duncan Robinson,DET,31.0,0.2,0.5,0.187,66.0,90.24,15.135135135135137,0.5252541610548749
130,Zaccharie Risacher,ATL,20.0,-0.2,1.4,0.203,-121.0,91.46,17.32,0.5251633549891953
131,Sam Hauser,BOS,27.0,1.5,0.1,0.14,325.0,86.59,13.014084507042254,0.5241975255570637
132,Davion Mitchell,MIA,26.0,0.5,-1.1,0.135,-3.0,90.24,14.567567567567568,0.523819562639929
133,Ronald Holland II,DET,19.0,-0.2,-2.3,0.177,-55.0,98.78,10.074074074074074,0.5235197340208996
134,Scoot Henderson,POR,21.0,0.6,1.4,0.22,-38.0,80.49,19.303030303030305,0.5232427875367186
135,Anthony Black,ORL,21.0,-1.3,-0.2,0.19,-40.0,95.12,15.397435897435898,0.5231363165626236
136,Jrue Holiday,POR,35.0,-0.8,-1.3,0.156,339.0,75.61,19.451612903225808,0.5209850511595511
137,Tim Hardaway Jr.,DEN,33.0,0.2,1.3,0.151,25.0,93.9,14.896103896103895,0.5199035716687531
138,Cason Wallace,OKC,21.0,-0.4,-1.5,0.124,369.0,82.93,15.676470588235292,0.5192509382485779
139,Moses Moody,GSW,23.0,-0.6,-0.9,0.17,132.0,90.24,14.12162162162162,0.5191192185333614
140,Kristaps Porziņģis,ATL,29.0,-0.6,-0.3,0.253,173.0,51.22,29.285714285714285,0.5189503243436288
141,D'Angelo Russell,DAL,29.0,0.5,-1.0,0.228,0.0,70.73,20.03448275862069,0.518888997369377
142,Keyonte George,UTA,21.0,0.1,3.3,0.237,-512.0,81.71,24.28358208955224,0.5184128661123061
143,Klay Thompson,DAL,35.0,-1.9,0.4,0.214,-79.0,87.8,19.27777777777778,0.5181094679540976
144,P.J. Washington,DAL,26.0,-1.4,-0.5,0.198,49.0,69.51,24.80701754385965,0.5180755520731383
145,Wendell Carter Jr.,ORL,26.0,-0.7,-1.1,0.159,-13.0,82.93,18.529411764705884,0.5179426393144473
146,Trey Murphy III,NOP,25.0,-0.9,0.5,0.229,-384.0,64.63,29.660377358490567,0.5178946328939343
147,Daniel Gafford,DAL,26.0,0.5,-0.7,0.186,35.0,69.51,21.54385964912281,0.5176979571901684
148,Matas Buzelis,CHI,20.0,-1.1,-0.1,0.181,-35.0,97.56,13.4375,0.517253580576519
149,Walker Kessler,UTA,23.0,-0.2,-0.7,0.133,-329.0,70.73,26.43103448275862,0.5172237544397088
150,Rui Hachimura,LAL,27.0,0.7,-0.5,0.156,158.0,71.95,19.91525423728813,0.5160007867313604
151,Mike Conley,MIN,37.0,-0.3,0.1,0.141,265.0,86.59,15.507042253521126,0.5158745861508307
152,Kevin Huerter,CHI,26.0,0.4,-0.1,0.171,104.0,84.15,15.420289855072465,0.5148116377642171
153,AJ Green,MIL,25.0,0.8,-1.5,0.123,227.0,89.02,11.32876712328767,0.514575144855172
154,Max Christie,DAL,22.0,-0.5,0.5,0.15,-83.0,95.12,14.871794871794872,0.5145743538293681
155,Al Horford,GSW,39.0,0.4,-0.9,0.136,397.0,73.17,17.933333333333334,0.5144989724532788
156,Donte DiVincenzo,MIN,28.0,0.1,0.2,0.188,174.0,75.61,18.82258064516129,0.5134334124463149
157,Kris Dunn,LAC,31.0,-0.4,-0.3,0.126,262.0,90.24,13.72972972972973,0.513426820025362
158,Jalen Johnson,ATL,23.0,-1.1,-1.1,0.214,55.0,43.9,33.5,0.512216343393696
159,Jabari Smith Jr.,HOU,22.0,0.2,-0.6,0.16,250.0,69.51,20.385964912280706,0.5120544318178079
160,Taurean Prince,MIL,31.0,-0.6,0.7,0.123,-22.0,97.56,13.8375,0.5104144817605695
161,John Collins,LAC,27.0,0.9,-0.1,0.234,-16.0,48.78,28.525,0.5097210648083901
162,Aaron Gordon,DEN,29.0,-0.5,-1.9,0.186,301.0,62.2,22.01960784313725,0.5096716672725564
163,Jalen Smith,CHI,25.0,2.0,0.3,0.201,-36.0,78.05,15.15625,0.5092774813452164
164,Royce O'Neale,PHX,32.0,-0.9,-0.0,0.151,-155.0,91.46,16.36,0.5087736571798073
165,Keon Johnson,BKN,23.0,-1.5,0.7,0.212,-423.0,96.34,16.544303797468356,0.5086509905678253
166,Kevon Looney,NOP,29.0,-0.4,-0.6,0.125,117.0,92.68,12.736842105263158,0.5080691885631645
167,Brandon Clarke,MEM,28.0,0.9,-0.9,0.15,181.0,78.05,15.203125,0.5073285820602047
168,Dorian Finney-Smith,HOU,32.0,1.0,-1.6,0.123,309.0,76.83,14.46031746031746,0.5069919625321357
169,Andrew Nembhard,IND,25.0,-0.9,-0.1,0.163,204.0,79.27,18.04615384615385,0.5059055476422097
170,Kenrich Williams,OKC,30.0,0.9,-0.6,0.151,329.0,84.15,11.420289855072465,0.5055005328072613
171,Sam Merrill,CLE,29.0,-0.0,-1.3,0.14,321.0,86.59,11.352112676056338,0.5039671445866952
172,Donovan Clingan,POR,21.0,0.0,-0.8,0.135,-2.0,81.71,16.597014925373134,0.503427623755122
173,Jalen Wilson,BKN,24.0,-0.6,0.8,0.161,-262.0,96.34,14.30379746835443,0.5030108116634315
174,Kyle Filipowski,UTA,21.0,-0.1,0.8,0.184,-366.0,87.8,17.194444444444443,0.5019645055870099
175,Gary Trent Jr.,MIL,26.0,-0.1,2.8,0.168,70.0,90.24,15.04054054054054,0.5001947073991091
176,Bobby Portis,MIL,30.0,-0.3,0.7,0.234,95.0,59.76,24.46938775510204,0.49980113369054285
177,Ausar Thompson,DET,22.0,-0.2,-1.1,0.185,67.0,71.95,18.45762711864407,0.4992831634014863
178,Dalton Knecht,LAL,24.0,-0.7,1.0,0.181,-73.0,95.12,12.602564102564102,0.4985950180257906
179,Kelly Oubre Jr.,PHI,29.0,-1.0,0.8,0.186,-258.0,73.17,23.73333333333333,0.49797033023279375
180,Jaime Jaquez Jr.,MIA,24.0,0.5,-0.5,0.194,-152.0,80.49,15.196969696969695,0.4965114943979534
181,Mason Plumlee,CHA,35.0,0.6,0.7,0.105,54.0,90.24,12.743243243243244,0.49633476178022873
182,Jamal Shead,TOR,22.0,0.1,-0.3,0.179,-234.0,91.46,12.2,0.4952789996064902
183,Chet Holmgren,OKC,23.0,1.3,-1.9,0.214,294.0,39.02,26.15625,0.49517696447228376
184,Cameron Payne,NYK,30.0,-0.7,-0.3,0.2,204.0,87.8,11.25,0.49516710588703217
185,Isaiah Stewart,DET,24.0,-0.5,-0.6,0.121,9.0,87.8,14.13888888888889,0.49505345711025656
186,Joel Embiid,PHI,31.0,0.5,-0.9,0.342,-57.0,23.17,34.8421052631579,0.4941636930387411
187,Kel'el Ware,MIA,21.0,-0.8,0.8,0.169,39.0,78.05,18.453125,0.49155744523398065
188,Cole Anthony,MIL,25.0,-1.2,-0.2,0.238,-16.0,81.71,14.91044776119403,0.49004579722876707
189,Kentavious Caldwell-Pope,MEM,32.0,-2.3,-0.8,0.121,11.0,93.9,13.623376623376624,0.4890268493049474
190,Yves Missi,NOP,21.0,-1.2,1.2,0.141,-514.0,89.02,19.42465753424657,0.4884612593816955
191,Luke Kennard,ATL,29.0,0.9,1.1,0.14,122.0,79.27,14.723076923076922,0.48754482093946916
192,Mark Williams,PHX,23.0,-0.5,-0.1,0.21,-301.0,53.66,28.227272727272727,0.4849034986570688
193,Paul George,PHI,35.0,-0.1,-1.1,0.233,-83.0,50.0,25.634146341463413,0.48426132910555797
194,Haywood Highsmith,MIA,28.0,-0.9,-0.6,0.111,61.0,90.24,12.067567567567568,0.4839684350801846
195,Julian Phillips,CHI,21.0,-0.1,-0.5,0.126,30.0,96.34,7.658227848101266,0.48210439741342126
196,Grayson Allen,PHX,29.0,0.5,0.9,0.169,-79.0,78.05,15.765625,0.4818879394885415
197,Nicolas Batum,LAC,36.0,-0.3,-0.5,0.087,152.0,95.12,8.576923076923077,0.4818276203179752
198,Jake LaRavia,LAL,23.0,0.9,1.1,0.14,126.0,80.49,13.242424242424242,0.48111508521730517
199,Ryan Dunn,PHX,22.0,-0.7,-0.4,0.161,-169.0,90.24,11.87837837837838,0.4802169734993477
200,Jonathan Kuminga,GSW,22.0,-0.4,-0.0,0.271,8.0,57.32,21.872340425531917,0.48015348134733443
201,Peyton Watson,DEN,22.0,-0.4,0.2,0.138,-26.0,82.93,14.161764705882351,0.4767311799803284
202,Ricky Council IV,PHI,23.0,-0.2,1.0,0.196,-159.0,89.02,11.452054794520548,0.4761987289643964
203,Kyle Kuzma,MIL,29.0,-2.7,1.2,0.233,-419.0,79.27,21.46153846153846,0.47604502297348167
204,Nic Claxton,BKN,26.0,-3.0,0.7,0.166,-497.0,85.37,21.01428571428572,0.47501897893065176
205,Jonathan Isaac,ORL,27.0,-1.7,-1.9,0.155,-38.0,86.59,11.859154929577464,0.4736906594108875
206,Simone Fontecchio,MIA,29.0,-1.0,-0.3,0.152,16.0,91.46,9.533333333333331,0.4714542155035041
207,Brice Sensabaugh,UTA,21.0,-0.5,2.6,0.208,-285.0,86.59,14.633802816901408,0.4705158092807286
208,Alex Caruso,OKC,31.0,-0.3,-3.1,0.147,321.0,65.85,14.037037037037036,0.4703901996677687
209,Tristan da Silva,ORL,24.0,-1.3,0.2,0.149,-127.0,90.24,11.972972972972974,0.46888916370586237
210,Steven Adams,HOU,31.0,1.7,-2.3,0.127,172.0,70.73,10.586206896551724,0.46848980962189546
211,Trey Lyles,SAC,29.0,-0.5,0.0,0.139,-70.0,84.15,12.666666666666666,0.4680013895413708
212,Bogdan Bogdanović,LAC,32.0,0.3,-0.6,0.183,106.0,65.85,16.037037037037038,0.4679414132212237
213,Dalano Banton,POR,25.0,-0.9,0.9,0.237,-55.0,81.71,12.611940298507465,0.4670932391671415
214,Gabe Vincent,LAL,29.0,-0.3,-0.3,0.131,48.0,87.8,9.34722222222222,0.46567974586781913
215,Bradley Beal,LAC,32.0,-1.8,1.5,0.219,-273.0,64.63,23.79245283018868,0.4620998277682259
216,Ochai Agbaji,TOR,25.0,-1.3,-0.6,0.144,-214.0,78.05,16.265625,0.46203215125367986
217,Dean Wade,CLE,28.0,0.5,-1.7,0.101,284.0,71.95,11.610169491525424,0.4611159625797192
218,Brandon Miller,CHA,22.0,0.7,-0.3,0.27,-124.0,32.93,28.51851851851852,0.46082679765338563
219,Cam Thomas,BKN,23.0,1.3,2.1,0.328,-92.0,30.49,29.24,0.4602603237510606
220,Clint Capela,HOU,31.0,-1.5,-1.0,0.16,-79.0,67.07,19.25454545454545,0.46020591254789117
221,Justin Champagnie,WAS,24.0,0.7,1.6,0.15,-288.0,75.61,16.20967741935484,0.45984437537202105
222,Kyshawn George,WAS,21.0,-1.1,0.7,0.156,-361.0,82.93,15.661764705882351,0.4595961041895447
223,Immanuel Quickley,TOR,26.0,0.4,-0.4,0.246,-39.0,40.24,25.484848484848484,0.4591579001452206
224,Jalen Suggs,ORL,24.0,-0.5,-2.0,0.268,3.0,42.68,23.4,0.45905743323553044
225,Jeremy Sochan,SAS,22.0,-1.2,0.5,0.184,-88.0,65.85,20.09259259259259,0.45872102605136233
226,Dejounte Murray,NOP,28.0,-0.3,1.3,0.263,-207.0,37.8,30.29032258064516,0.4576470434250945
227,Amir Coffey,MIL,28.0,-2.4,0.3,0.15,-66.0,87.8,13.0,0.45752027417502
228,Gradey Dick,TOR,21.0,-0.3,1.3,0.209,-210.0,65.85,19.314814814814813,0.4564798638076149
229,Terry Rozier,MIA,31.0,-2.1,0.8,0.195,-141.0,78.05,16.515625,0.45647852271434247
230,Terance Mann,BKN,28.0,0.1,1.6,0.145,-95.0,81.71,12.71641791044776,0.4561088141742284
231,Chris Boucher,BOS,32.0,1.2,0.1,0.208,5.0,60.98,15.58,0.45494774791511067
232,Jose Alvarado,NOP,27.0,-0.7,-0.4,0.193,-232.0,68.29,17.428571428571427,0.45436364410742447
233,Neemias Queta,BOS,25.0,0.4,-1.2,0.136,155.0,75.61,9.85483870967742,0.45432260836332566
234,Bilal Coulibaly,WAS,20.0,-1.1,0.6,0.175,-587.0,71.95,20.57627118644068,0.4523058054915897
235,Sandro Mamukelashvili,TOR,26.0,0.3,-0.8,0.202,-28.0,74.39,10.37704918032787,0.4520397388797239
236,Isaiah Collier,UTA,20.0,-2.1,2.8,0.186,-403.0,86.59,16.47887323943662,0.4512715512827693
237,Day'Ron Sharpe,BKN,23.0,-0.6,-1.4,0.186,64.0,60.98,16.76,0.45103786489607783
